"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003630","836572002636","","258000-11","","WHEELS MFTG HANGER #11","2","1","$40.00","$0.00","$40.00","$45.20","$19.99","$20.01","50.03%"
"210000000131","","","","","True Rear Wheel","0","5","$150.00","$0.00","$150.00","$169.50","$0.00","$150.00","100%"
"210000000099","","","","","Adjust Rear Derailleur","0","10","$150.00","$0.00","$150.00","$169.50","$0.00","$150.00","100%"
"210000000368","770612276086","","030019-01","","Varia, Presta valve adapters, bottle of 50","156","12","$24.00","$0.00","$24.00","$27.12","$4.20","$19.80","82.5%"
"210000000363","","","","","SILVER TUNE UP","0","54","$3755.00","$0.00","$3755.00","$4243.15","$0.00","$3755.00","100%"
"210000003453","770612336810","","011693-02-26","","EVO, Outcross, Tire, 26''x2.00, Wire, Clincher, Black","1","13","$325.00","$0.00","$325.00","$367.25","$116.87","$208.13","64.04%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","38","$292.98","$0.64","$292.34","$330.35","$94.62","$197.72","67.63%"
"210000003522","768686377037","","GR-7129761","","RADIX MIPS W MAT PINK ST M","0","1","$130.00","$0.00","$130.00","$146.90","$62.40","$67.60","52%"
"210000000268","4715910023761","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","2","48","$240.00","$0.00","$240.00","$271.20","$66.60","$173.40","72.25%"
"210000001617","768686096334","","BE-7088199","","4FORTY MIPSMATTE/GLOSS BLACK L","-1","1","$140.00","$0.00","$140.00","$158.20","$67.50","$72.50","51.79%"
"210000003374","","","250728-02","058817930836","49N CANTILEVER PADS 70MM","55","4","$32.00","$0.00","$32.00","$36.16","$10.40","$21.60","67.5%"
"210000003325","058817102769","","174235-01","","49N ULTRA GRIP PU TAPE - BLK","0","7","$245.00","$0.00","$245.00","$276.85","$90.93","$154.07","62.89%"
"210000002793","4715910023440","","253663-02","","JAG BASICS SS SHFT SHIM 100PCS","195","2","$10.00","$0.00","$10.00","$11.30","$1.80","$8.20","82%"
"210000003604","621920141385","","14-120-79","","TC-CQ02   22/32/42. Forged AL-6061-T6 with steel chainringT.","1","2","$80.00","$0.00","$80.00","$90.40","$30.46","$49.54","61.93%"
"210000001540","","","380231-10","","Shimano, EBBUN55C18, BB-UN55, Square, BB Shell: 73mm, Axle: 118mm, Steel, Silver","0","1","$45.00","$0.00","$45.00","$50.85","$22.59","$22.41","49.8%"
"210000003338","710845003950","","312720-03","","SRAM PG-850 CASSETTE 11-28 8SP","0","2","$72.00","$0.00","$72.00","$81.36","$36.98","$35.02","48.64%"
"210000003292","","","500040-01","","SRAM, PC-830, 8sp chain, 114 links, Powerlink","0","3","$60.00","$0.00","$60.00","$67.80","$23.97","$36.03","60.05%"
"210000003482","058817930379","","250729-02","","49N  V-BRAKE PADS 70MM","10","6","$48.00","$0.00","$48.00","$54.24","$15.60","$32.40","67.5%"
"210000000230","4715910000809","","250186-02","jagbcss","JAG RD SPRT SLK SS BRK 100PCS","0","17","$85.00","$0.00","$85.00","$96.05","$1126.40","$-1041.40","-1225.18%"
"210000002942","4715910022894","","jagsh","","JAG BASIC LEX SHFT OUT BLK","-27","87","$87.00","$0.00","$87.00","$98.31","$34.80","$52.20","60%"
"210000000231","4715910019238","","250191-01","jagbh","JAG SPT CGX-SL BRK OUT 50M BLK","-14","40","$40.00","$0.00","$40.00","$45.20","$20.00","$20.00","50%"
"210000003357","","8021890325792","550400-01","8021890325792","Selle Royal, Ondina, Saddle, 253 x 214mm, Unisex, 690g, Brown","2","1","$45.00","$0.00","$45.00","$50.85","$21.99","$23.01","51.13%"
"210000000364","","","Gold tune","","Bike Tune","0","12","$1080.00","$0.00","$1080.00","$1220.40","$0.00","$1080.00","100%"
"210000001788","4260477061164","","173645-02","","GP1-L GRIPSHIFT","3","1","$44.99","$0.00","$44.99","$50.84","$21.15","$23.84","52.99%"
"210000001575","764459351129","","640771-01","","Mirrycle, Incredibell Lolo, Bell, Black","0","4","$80.00","$0.00","$80.00","$90.40","$40.36","$39.64","49.55%"
"210000000221","768661115135","","176303","","JOEBLOW SPRINT FLOOR PUMP","0","1","$60.00","$0.00","$60.00","$67.80","$45.00","$15.00","25%"
"210000003608","621920121523","","12-009-55","","PEDALS  Aluminium made  Weight: 596 g","2","6","$108.00","$0.00","$108.00","$122.04","$55.44","$52.56","48.67%"
"210000003509","768686199035","","GH-7099238","","DND HEATWAVE/BLK M","0","1","$40.00","$0.00","$40.00","$45.20","$19.20","$20.80","52%"
"210000003212","","","011672-10-700","","Goodyear, Transit Tour, Tire, 700x50C, Wire, Clincher, Dynamic:Silica4, S3: Shell, 60TPI, Black","0","4","$240.00","$0.00","$240.00","$271.20","$57.16","$182.84","76.18%"
"210000000124","","","","","Install Tire","0","13","$125.00","$0.00","$125.00","$141.25","$0.00","$125.00","100%"
"210000003458","770612336155","","020176-18","","EVO, SV, Tube, Schrader, Length: 48mm, 29'', 2.125-2.40","62","3","$24.00","$0.00","$24.00","$27.12","$10.47","$13.53","56.38%"
"210000003291","710845019517","","500027-01","","SRAM, PC 951, 9sp chain, 114 links, Powerlink","1","4","$98.88","$0.00","$98.88","$111.73","$55.54","$43.34","43.83%"
"210000003196","768686731105","","BL-7074412","","CLICK USB REAR LIGHT BLACK","4","3","$90.00","$3.00","$87.00","$98.31","$45.00","$42.00","48.28%"
"210000000126","","","","","Install Multi-Speed Chain","0","3","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000003195","768686731099","","BL-7074411","","CLICK USB FRONT LIGHT BLACK","7","4","$120.00","$3.00","$117.00","$132.21","$60.00","$57.00","48.72%"
"210000003623","","","36350","","Brake shoe v-brake black 70mm","2","4","$32.00","$0.00","$32.00","$36.16","$18.00","$14.00","43.75%"
"210000000229","4715910000786","","250186-01","jagbcssmtn","JAG MTN SPRT SLK SS BRK 100PCS","-7","22","$110.00","$0.00","$110.00","$124.30","$35.20","$74.80","68%"
"210000001895","058817004148","","160190","","24 X 1.50-2.00 SV(35) TUBE","0","1","$7.00","$0.00","$7.00","$7.91","$3.00","$4.00","57.14%"
"210000000125","","","","","Install Tube","0","23","$195.00","$0.00","$195.00","$220.35","$0.00","$195.00","100%"
"210000003537","847435028755","","04-8086","","Kali PACE SLD MATTE BLK/GRY L/XL","2","1","$90.00","$13.50","$76.50","$86.45","$44.99","$31.51","41.19%"
"210000003386","768686309182","","GH-7111846","","Xnetic Trail Coal M L","0","1","$65.00","$9.75","$55.25","$62.43","$30.00","$25.25","45.7%"
"210000003454","770612335813","","020175-04","","EVO, Presta, Tube, Length: 48mm, 26'', 1.75-2.125","22","5","$28.58","$0.00","$28.58","$32.30","$11.45","$17.13","59.94%"
"210000003443","770612336421","","011685-07-29","","EVO, Knotty, Tire, 29''x2.10, Wire, Clincher, Black","9","2","$60.00","$0.00","$60.00","$67.80","$26.98","$33.02","55.03%"
"210000003532","770612325364","","890717-01","","EVO, E-Tec GS-1, Free Standing Rack","67","1","$32.00","$0.00","$32.00","$36.16","$15.99","$16.01","50.03%"
"210000003546","847435024962","","04-4602","","CHAKRA SOLO WHT S/M","0","1","$60.00","$0.00","$60.00","$67.80","$29.99","$30.01","50.02%"
"210000000094","","","","","Adjust Hydraulic Brakes","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000000323","058817986109","","258470-01","","49N SEATPOST, 25.4, 400MM","1","1","$22.00","$0.00","$22.00","$24.86","$11.00","$11.00","50%"
"210000003330","058817470851","","254006-02","","49N FORMFIT ERGO 175 M/F SDL","23","3","$141.00","$0.00","$141.00","$159.33","$48.00","$93.00","65.96%"
"210000002534","058817985164","","174735-02","","49N 16""-24"" TRAIN WHLS DERAIL","13","3","$150.00","$20.00","$130.00","$146.90","$73.50","$56.50","43.46%"
"210000002215","","","spoke","","spoke","0","10","$20.00","$0.00","$20.00","$22.60","$5.00","$15.00","75%"
"210000003233","","","850550","","chainguard black 46-48t","6","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000003455","770612335974","","020175-20","770612335974","EVO, Presta, Tube, Length: 48mm, 700C, 35-44C","64","8","$64.00","$0.00","$64.00","$72.32","$22.32","$41.68","65.13%"
"210000001846","","","172212-01","","49N LED BAND HI-VIZ ORG","2","1","$15.00","$0.00","$15.00","$16.95","$7.50","$7.50","50%"
"210000003344","641300144997","","342391-01","","CRABRO SPEEDIER LVR BLK PKG(1)","2","2","$22.00","$1.65","$20.35","$23.00","$8.41","$11.94","58.69%"
"210000000087","","","","","Adjust Front *V-Brake*","0","8","$80.00","$0.00","$80.00","$90.40","$0.00","$80.00","100%"
"210000003450","770612336773","","011692-02-27","","EVO, Dash, Tire, 27''x1-1/4, Wire, Clincher, Tanwall","-1","4","$100.00","$0.00","$100.00","$113.00","$28.76","$71.24","71.24%"
"210000003372","","","020175-18","770612335950","EVO, Presta, Tube, Length: 60mm, 700C, 28-32C","155","2","$18.00","$0.00","$18.00","$20.34","$5.58","$12.42","69%"
"210000002109","","","RIM","","RIM TAPE","0","12","$60.00","$0.00","$60.00","$67.80","$24.00","$36.00","60%"
"210000000149","058817994685","","160130-04","","20 X 2.125-2.30 SV(35) TUBE","0","3","$21.00","$0.00","$21.00","$23.73","$9.00","$12.00","57.14%"
"210000000987","","","BE-7067521","","HUB MAT GUNMETAL L","0","1","$100.00","$0.00","$100.00","$113.00","$50.00","$50.00","50%"
"210000003395","181517000551","","","06-0095","ESI ROAD WRAP BLACK","15","2","$150.00","$0.00","$150.00","$169.50","$77.98","$72.02","48.01%"
"210000002823","713835244142","","659666-01","","Serfas RX Cruiser Saddle Lycra","5","1","$70.00","$0.00","$70.00","$79.10","$34.50","$35.50","50.71%"
"210000001981","","","040879-02-29","","wheel shop wheel alex ace 19 black","0","2","$220.00","$0.00","$220.00","$248.60","$104.38","$115.62","52.55%"
"210000003359","","","550460-02","8021890419286","Selle Royal, Freeway Moderate, Saddle, 260 x 188mm, Women, Black","1","1","$50.00","$0.00","$50.00","$56.50","$29.99","$20.01","40.02%"
"210000002811","710845019517","","312814-01","","SRAM PC951 CHAIN 9SPD","4","1","$30.00","$0.00","$30.00","$33.90","$13.58","$16.42","54.73%"
"210000003177","","","120046-03","","Shimano, Sora CS-HG50-9, 9sp. cassette, 12-25T, 12-13-14-15-17-19-21-23-25","0","1","$56.00","$0.00","$56.00","$63.28","$27.99","$28.01","50.02%"
"210000002671","","","004-4290","","CENTRAL SLD MAT BER S/M","0","1","$115.00","$0.00","$115.00","$129.95","$57.50","$57.50","50%"
"210000003448","770612336636","","011690-03-26","","EVO, Mosey, Tire, 26''x2.125, Wire, Clincher, Black","0","2","$50.00","$0.00","$50.00","$56.50","$19.38","$30.62","61.24%"
"210000003607","621920141880","","14-081-13","","VP SEALED  - Sealed cartridge bearings 122.5MM X 68MM","0","1","$20.00","$0.00","$20.00","$22.60","$8.00","$12.00","60%"
"210000001652","","","CT-1003928","","ULTRA SPORT II 700 X28 WIRE BLACK","0","1","$25.00","$0.00","$25.00","$28.25","$15.00","$10.00","40%"
"210000003656","","","041-0570","","Urban Soul 8 Matte Black M/18","0","2","$1000.00","$0.00","$1000.00","$1130.00","$699.98","$300.02","30%"
"210000001869","058817931543","","170992-01","","49 ALLOY WATERBOTTLE CAGE-BLK","142","15","$150.00","$11.00","$139.00","$157.07","$67.50","$71.50","51.44%"
"210000000238","058817214127","","250381-02","","TEKTRO R525 39-51MM BLK RR","0","1","$41.99","$0.00","$41.99","$47.45","$21.00","$20.99","49.99%"
"210000003398","628250704044","","05-0015","","WLP DRY CHAIN LUBE 120ML","6","5","$75.00","$3.00","$72.00","$81.36","$32.50","$39.50","54.86%"
"210000003302","","","840392-01","","Chamois Butt'R, Chamois Butt'r Coconut, 8oz","0","1","$33.00","$0.00","$33.00","$37.29","$13.99","$19.01","57.61%"
"210000000095","","","","","Bleed Hydraulic Brake","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000000096","","","","","Flush Hydraulic Brake","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000003326","058817042973","","174405-02","","49N 26""-29"" ALLOY STAY DISC ST","27","17","$573.00","$35.00","$538.00","$607.99","$221.00","$317.00","58.92%"
"210000003539","847435028793","","04-4591","","PACE SLD MATTE MOS/WHT L/XL","0","1","$90.00","$0.00","$90.00","$101.70","$44.99","$45.01","50.01%"
"210000003653","","","RD-M360","","Road Derailleur 7,8,9 sd","0","3","$150.00","$15.00","$135.00","$152.55","$77.97","$57.03","42.24%"
"210000003615","836572004449","","270393-01","","Wheels Manufacturing, Dropout 25, Derailleur hanger, Kona","5","1","$35.00","$0.00","$35.00","$39.55","$16.50","$18.50","52.86%"
"210000003654","","","Bulk","500040--02","Bulk 8sp Chain","-9","9","$180.00","$0.00","$180.00","$203.40","$64.80","$115.20","64%"
"210000003329","058817470820","","254005-02","","49N FORMFIT 175 M/F SADDLE","33","3","$141.00","$4.70","$136.30","$154.02","$48.00","$88.30","64.78%"
"210000003660","","","041-0590","","Urban Soul 8 Bright Orange M/18","0","3","$1500.00","$0.00","$1500.00","$1695.00","$1049.97","$450.03","30%"
"210000001723","","","V-353-023-1","","ZAFFIRO 23 C BLACK","1","1","$30.00","$0.00","$30.00","$33.90","$13.00","$17.00","56.67%"
"210000003371","","","020175-16","770612335936","EVO, Presta, Tube, Length: 80mm, 700C, 23-25C","8","1","$15.00","$0.00","$15.00","$16.95","$2.79","$12.21","81.4%"
"210000003518","768686183379","","GR-7100323","","CADEN MIPS MAT BLACK M","1","1","$130.00","$16.90","$113.10","$127.80","$62.40","$50.70","44.83%"
"210000003300","","","810492-01","","Abus, Bordo uGrip 5700C, Folding Lock, Combination, 80cm, 2.6', 5mm, Black","0","2","$260.00","$29.90","$230.10","$260.01","$131.98","$98.12","42.64%"
"210000000349","763477000293","","340572","","PARK FOLDING HEX WRENCH AWS-10","0","1","$20.00","$0.00","$20.00","$22.60","$8.00","$12.00","60%"
"210000002771","058817462887","","160022-04","","49N STD 700C x 23-28MM P/V48","10","12","$88.00","$0.00","$88.00","$99.44","$42.10","$45.90","52.16%"
"210000002058","4019238371390","","CT-1010725","","CONTI GATOR SKIN 700X 25 WIRE DURASKIN","0","2","$150.00","$0.00","$150.00","$169.50","$74.30","$75.70","50.47%"
"210000003666","058817901157","","959371-9-01","","NORCO DERAILLEUR HANGER","0","1","$25.00","$0.00","$25.00","$28.25","$6.00","$19.00","76%"
"210000003545","847435024955","","04-4601","","Kali CHAKRA SOLO BLK L/XL","0","2","$120.00","$6.00","$114.00","$128.82","$59.98","$54.02","47.39%"
"210000002599","","","040689-03-26","","Wheel Shop, Alex C1000 Silver/ Shimano Acera FH-T3000, Wheel, Rear, 26'' / 559, Holes: 36, QR, 135mm, Rim, Shimano HG","0","1","$70.00","$0.00","$70.00","$79.10","$29.99","$40.01","57.16%"
"210000000269","4715910019245","","253665-01","jagsh","JAG LEX-SL SFT OUT 4MM BLK 50M","-3","6","$6.00","$0.00","$6.00","$6.78","$3.64","$2.36","39.27%"
"210000001280","4715910019238","","jagbh","","JAG SPT CGX-SL BRK OUT 50M BLK","0","15","$15.00","$0.00","$15.00","$16.95","$4.50","$10.50","70%"
"210000003549","836572000915","","258075-04","","WHEELS MFG JAR O’ PLUGS – HANDLEBAR END PLUGS","130","6","$15.00","$0.00","$15.00","$16.96","$2.22","$12.78","85.2%"
"210000003602","6219201420232","","14-081-06","","Sealed Cartridge  Thread: 1.37''x24T L/R  Black  square spindle","0","2","$40.00","$0.00","$40.00","$45.20","$10.50","$29.50","73.75%"
"210000003671","","","041-1240","","ALITE 50 BLACK L/19","0","2","$1100.00","$0.00","$1100.00","$1243.00","$779.98","$320.02","29.09%"
"210000003487","","","CC-01-021-004","Ron Bike","Trek Mtb Black","0","1","$455.00","$0.00","$455.00","$514.15","$350.00","$105.00","23.08%"
"210000001629","768686677670","","BL-7068254","","16G CO2 BULK THREADEDCARTRIDGES","27","1","$5.50","$0.00","$5.50","$6.22","$1.99","$3.51","63.85%"
"210000003442","","","163770-07","","Kenda K1129 KWICK JOURNEY TIRE 700c x 32 Wire","0","2","$70.00","$0.00","$70.00","$79.10","$36.00","$34.00","48.57%"
"210000003632","047853624076","","163820-32","","KENDA K1047 SMALL BLOCK 8 TIRE - PRO 27.5 x 2.1","0","1","$80.00","$0.00","$80.00","$90.40","$40.00","$40.00","50%"
"210000003579","768686376528","","GR-7129508","","RADIX MIPS MAT CHALK L","0","1","$130.00","$0.00","$130.00","$146.90","$62.40","$67.60","52%"
"210000004229","5037835300000","5037835300000","901554-01","","Muc-Off, Expanding Microcell Sponge","25","1","$0.00","$0.00","$0.00","$0.00","$2.99","$-2.99",""
"210000003155","","","8022530021203","","terreno Zero 700 x 35c G 2.0","2","2","$150.00","$22.50","$127.50","$144.08","$75.00","$52.50","41.18%"
"210000003672","","","041-1215","","ALITE 50 RED M/17","0","1","$550.00","$0.00","$550.00","$621.50","$389.99","$160.01","29.09%"
"210000003413","768686071867","","GR-7089134","","VASONA MIPS MAT GLACIER","0","1","$85.00","$0.00","$85.00","$96.05","$42.50","$42.50","50%"
"210000000190","058817985638","","173628-03","","49N DLX LOCK-DWN ERGO GRIP","-11","5","$98.00","$0.00","$98.00","$110.74","$50.00","$48.00","48.98%"
"210000003047","","","171358-02","","WALD CLIP-ON BASKET-LARGE","0","2","$110.00","$0.00","$110.00","$124.30","$52.50","$57.50","52.27%"
"210000000679","4715910030639","","250093-09","","JAG PRO S.MET DB PAD SHIM NEW","0","1","$26.00","$0.00","$26.00","$29.38","$13.00","$13.00","50%"
"210000000064","","","Bronze tune","","Bike Wash Bolt Tighten","0","4","$140.00","$0.00","$140.00","$158.20","$0.00","$140.00","100%"
"210000003668","4717592037654","","250384-01","","TEKTRO 900A SIDE-PULL CALIPER BRAKE","0","1","$46.00","$16.10","$29.90","$33.79","$23.00","$6.90","23.08%"
"210000000328","710845610363","","","190118-02","AVID FR-5 BRK LVR PAIR BLK/BLK","2","1","$26.99","$9.45","$17.54","$19.82","$12.50","$5.04","28.73%"
"210000000129","","","","","Install Chainring","0","1","$10.00","$0.00","$10.00","$11.30","$0.00","$10.00","100%"
"210000003658","","","041-0580","","Urban Soul 8 Matte Black XL/23","0","1","$500.00","$0.00","$500.00","$565.00","$349.99","$150.01","30%"
"210000000214","058817160219","","174409-01","","49N DLX DBL LEG K-STND 24-29""","0","1","$52.00","$0.00","$52.00","$58.76","$22.50","$29.50","56.73%"
"210000003409","058817934308","","173628-01","","49N  ERGONOMIC COMFORT GRIP","24","2","$22.00","$0.00","$22.00","$24.86","$10.50","$11.50","52.27%"
"210000003437","047853677324","","010838","","Kenda, Komfort (K841A), Tire, 26''x1.95, Wire, Clincher, SRC, 30TPI, Black","0","4","$124.00","$0.00","$124.00","$140.12","$59.48","$64.52","52.03%"
