"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000002770","058817462559","","160021-15","","49N STD 27.5 x 1.95-2.4"" P/V48","0","2","$18.00","$0.00","$18.00","$20.34","$9.00","$9.00","50%"
"210000000125","","","","","Install Tube","0","7","$45.00","$0.00","$45.00","$50.85","$0.00","$45.00","100%"
"210000004353","","","","721107-01","Basil, Miles Daypack, Day Pack, 17L, Black Slate","0","1","$150.00","$0.00","$150.00","$169.50","$85.13","$64.87","43.25%"
"210000003756","3611720061515","","450562-02","","Look, Delta, Cleats, Red, 9°","4","2","$50.00","$0.00","$50.00","$56.50","$24.98","$25.02","50.04%"
"210000003352","","","620749-01","770612335608","NiteBright™ 240 Headlight","19","1","$32.00","$0.00","$32.00","$36.16","$14.99","$17.01","53.16%"
"210000004328","4715910017289","","","210147-02","Jagwire, Basics X-Caliper, Road brake pads, All-Weather (Aw), Silver, 50 pairs (bulk)","0","1","$41.57","$0.00","$41.57","$46.97","$41.57","$0.00","0%"
"210000002862","","3611720110909","450881-01","","Look, Classic 3, Pedals, Black","0","1","$90.00","$0.00","$90.00","$101.70","$47.49","$42.51","47.23%"
"210000001662","036121160002","","FL-C04","","WET LUBE 4OZ A57+A57","5","1","$15.00","$0.00","$15.00","$16.95","$6.50","$8.50","56.67%"
"210000004126","058817470844","","254006-01","","49N FORMFIT ERGO 142 - MEMORY FOAM SADDLE","1","1","$47.00","$0.00","$47.00","$53.11","$15.99","$31.01","65.98%"
"210000004221","","","570004-01","","EVO, Saddle clamp, Steel, Black","14","1","$7.00","$0.00","$7.00","$7.91","$2.03","$4.97","71%"
"210000004300","058817931321","","252853-01","","49N DLX URBAN PEDALS - RESIN / ALLOY 9/16""","20","1","$52.00","$0.00","$52.00","$58.76","$21.39","$30.61","58.87%"
"210000003546","847435024962","","04-4602","","CHAKRA SOLO WHT S/M","0","1","$60.00","$0.00","$60.00","$67.80","$29.99","$30.01","50.02%"
"210000000681","763477005632","","340668-02","","PARK PW-5 PEDAL WRENCH","11","1","$21.00","$0.00","$21.00","$23.73","$10.00","$11.00","52.38%"
"210000003262","847746019749","","166816-01","","NT RACE SEALANT 32oz/944ml","19","2","$132.00","$26.40","$105.60","$119.33","$60.00","$45.60","43.18%"
