"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000088","","","","","Adjust Rear *V-Brake*","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000003606","","","26-637-37","","27.5 SILVER REAR / FREEWHEEL, NUT","0","1","$60.00","$0.00","$60.00","$67.80","$23.73","$36.27","60.45%"
"210000003482","058817930379","","250729-02","","49N  V-BRAKE PADS 70MM","10","4","$32.00","$0.00","$32.00","$36.16","$10.40","$21.60","67.5%"
"210000000229","4715910000786","","250186-01","jagbcssmtn","JAG MTN SPRT SLK SS BRK 100PCS","-7","7","$35.00","$0.00","$35.00","$39.55","$11.20","$23.80","68%"
"210000002109","","","RIM","","RIM TAPE","0","9","$45.00","$0.00","$45.00","$50.85","$18.00","$27.00","60%"
"210000003940","621920540072","","54-070-00","","Tube 700 x 35-43c SV","1","1","$8.00","$0.00","$8.00","$9.04","$2.90","$5.10","63.75%"
"210000000125","","","","","Install Tube","0","5","$50.00","$0.00","$50.00","$56.50","$0.00","$50.00","100%"
"210000003352","","","620749-01","770612335608","NiteBright™ 240 Headlight","19","1","$32.00","$0.00","$32.00","$36.16","$14.99","$17.01","53.16%"
"210000000124","","","","","Install Tire","0","4","$35.00","$0.00","$35.00","$39.55","$0.00","$35.00","100%"
"210000000131","","","","","True Rear Wheel","0","3","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","8","$40.00","$0.00","$40.00","$45.20","$16.00","$24.00","60%"
"210000003451","","","011692-03-26","","EVO, Dash, Tire, 26''x1-3/8, Wire, Clincher, Black","10","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000000095","","","","","Bleed Hydraulic Brake","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000004008","","","FV21058211","","Devinci Milano Disc Altus 8s SM Black","0","1","$865.00","$112.45","$752.55","$850.38","$507.00","$245.55","32.63%"
"210000004129","3420581240010","643187000502","710115-01","","Zéfal, Aluplast 124, Bottle Cage, Black","1","1","$8.00","$0.80","$7.20","$8.14","$2.99","$4.21","58.47%"
"210000003536","847435028748","","04-4585","","PACE SLD MATTE BLK/GRY S/M","0","1","$90.00","$13.50","$76.50","$86.45","$44.99","$31.51","41.19%"
"210000003759","883466006034","","171218-01","","TOPEAK EXPLORER 29'ER DISC TUBULAR RACK","0","1","$73.00","$10.95","$62.05","$70.12","$31.89","$30.16","48.61%"
"210000002820","768661119416","","406030","","RX TRUNK BAG DXP","7","1","$94.00","$14.10","$79.90","$90.29","$47.50","$32.40","40.55%"
"210000003370","770612335912","","020175-14","","EVO, Presta, Tube, Length: 48mm, 700C, 23-25C","154","20","$139.74","$9.00","$130.74","$147.74","$45.80","$84.94","64.97%"
"210000004204","5037835872002","","900965-02","","Muc-Off, Ceramic Dry Lubricant, 120ml with UV Torch","16","2","$50.00","$0.00","$50.00","$56.50","$20.58","$29.42","58.84%"
