"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003092","058817859939","","171271","","STREAMLINER DISC DLX - BLACK","-2","2","$140.00","$0.00","$140.00","$158.20","$67.00","$73.00","52.14%"
"210000004731","689228581319","4524667581314","","120516-01","Shimano, CS-HG200-9, 9sp. cassette, 11-13-15-17-19-21-24-28-32T","-1","2","$82.00","$0.00","$82.00","$92.66","$44.98","$37.02","45.15%"
"210000003965","766759709860","","46652","","X9 KMC 9 Speed 116 Link Chain","0","4","$192.00","$0.00","$192.00","$216.96","$96.00","$96.00","50%"
"210000002770","058817462559","","160021-15","","49N STD 27.5 x 1.95-2.4"" P/V48","0","2","$18.00","$0.00","$18.00","$20.34","$9.00","$9.00","50%"
"210000002109","","","RIM","","RIM TAPE","0","30","$150.00","$0.00","$150.00","$169.50","$60.00","$90.00","60%"
"210000002215","","","spoke","","spoke","0","93","$251.50","$0.00","$251.50","$284.27","$46.50","$205.00","81.51%"
"210000000071","","","Rear Hub Service","Hub Service","Grease Rear Hub","0","7","$210.00","$0.00","$210.00","$237.30","$0.00","$210.00","100%"
"210000004455","710845504723","","","312817-01","SRAM PC-870 Speed: 8 Width: 7.1mm pin Links: 114 Color: Nickel / Grey","-1","1","$26.00","$0.00","$26.00","$29.38","$15.00","$11.00","42.31%"
"210000003985","836572006283","","270463-01","","Wheels Manufacturing, Dropout 107, Derailleur hanger, Devinci, Norco","0","1","$46.00","$0.00","$46.00","$51.98","$24.99","$21.01","45.67%"
"210000004415","689228386082","4524667386087","","260218-01","Shimano, Claris RD-R2000, Rear derailleur, 8sp., GS, Grey","4","1","$46.00","$0.00","$46.00","$51.98","$21.49","$24.51","53.28%"
"210000004711","689228675568","4524667675563","","120475-01","Shimano, CS-HG31, 8sp. cassette, 11-30T, 11-13-15-17-20-23-26-30","0","2","$60.00","$0.00","$60.00","$67.80","$30.98","$29.02","48.37%"
"210000004582","","","","500040-02","Bulk 8sp Chain","50","5","$125.00","$0.00","$125.00","$141.25","$39.60","$85.40","68.32%"
"210000000131","","","","","True Rear Wheel","0","11","$330.00","$0.00","$330.00","$372.90","$0.00","$330.00","100%"
"210000003750","621920540010","","54-026-01","","26 x 1.50-2.10 SV TUBE","-7","50","$384.00","$0.00","$384.00","$433.92","$145.00","$239.00","62.24%"
"210000000125","","","","","Install Tube","0","31","$280.00","$0.00","$280.00","$316.40","$0.00","$280.00","100%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","31","$155.00","$0.00","$155.00","$175.15","$62.00","$93.00","60%"
"210000001809","","","258065-02","","WHL-MFG HBAR SHIM 25.4/31.8 BK EA","0","1","$15.00","$0.00","$15.00","$16.95","$9.00","$6.00","40%"
"210000004339","","","","011198-04-26","Kenda, Small Block 8, Tire, 26''x2.35, Wire, Clincher, DTC, 60TPI, Black","0","5","$280.00","$22.40","$257.60","$291.09","$150.30","$107.30","41.65%"
"210000000124","","","","","Install Tire","0","17","$170.00","$0.00","$170.00","$192.10","$0.00","$170.00","100%"
"210000004121","","","50900","","Cotter Pin 9.5/42mm","8","2","$4.00","$0.00","$4.00","$4.52","$2.00","$2.00","50%"
"210000003454","770612335813","","020175-04","","EVO, Presta, Tube, Length: 48mm, 26'', 1.75-2.125","22","3","$24.00","$0.00","$24.00","$27.12","$6.87","$17.13","71.38%"
"210000003654","","","Bulk","500040--02","Bulk 8sp Chain","-9","3","$60.00","$0.00","$60.00","$67.80","$21.60","$38.40","64%"
"210000000126","","","","","Install Multi-Speed Chain","0","3","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000004237","058817205880","","170994-17","","49N PACE CAGE NEON YELLOW","15","2","$34.00","$0.00","$34.00","$38.42","$16.50","$17.50","51.47%"
