"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000101","","","","","Hanger True","0","5","$150.00","$0.00","$150.00","$169.50","$0.00","$150.00","100%"
"210000002859","689228130920","4524667130925","260022-01","","Shimano, Altus RD-M310, Rear derailleur, 7/8sp., Black, Smart","10","3","$120.00","$0.00","$120.00","$135.60","$62.67","$57.33","47.78%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","41","$205.00","$0.00","$205.00","$231.65","$54.12","$150.88","73.6%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","67","$67.00","$0.00","$67.00","$75.71","$26.80","$40.20","60%"
"210000005058","770612336032","","","020176-06","EVO, SV, Tube, Schrader, Length: 48mm, 20'', 1.50-1.75","0","2","$18.00","$0.00","$18.00","$20.34","$5.98","$12.02","66.78%"
"210000003297","768661258153","7290001258156","810127-02","","OnGuard, OG 5815, U-Lock, 106mm x 200mm (4.2'' x 7.9'') / Cable 10mm x 120cm (10mm x 4')","14","6","$300.00","$6.50","$293.50","$331.66","$92.54","$200.96","68.47%"
"210000004013","621920480354","","48-023-87","","Water Bottle Cage Holder Black","1","1","$11.00","$0.00","$11.00","$12.43","$5.78","$5.22","47.45%"
"210000004129","3420581240010","643187000502","710115-01","","Zéfal, Aluplast 124, Bottle Cage, Black","1","1","$8.00","$0.00","$8.00","$9.04","$2.99","$5.01","62.63%"
"210000000364","","","Gold tune","","Bike Tune","0","62","$5475.00","$0.00","$5475.00","$6186.75","$0.00","$5475.00","100%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","61","$61.00","$0.00","$61.00","$68.93","$18.30","$42.70","70%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","39","$195.00","$0.00","$195.00","$220.35","$24.96","$170.04","87.2%"
"210000000334","710845006548","","312454-02","","SRAM 3.0 GRIPSHIFT 21SPD SET","5","1","$17.00","$0.00","$17.00","$19.21","$18.75","$-1.75","-10.29%"
"210000000125","","","","","Install Tube","0","44","$405.00","$0.00","$405.00","$457.65","$0.00","$405.00","100%"
"210000002442","770612336179","","020176-20","","EVO, Schrader, Tube, Schrader, Length: 35mm, 700C, 28-32C","71","7","$70.00","$2.50","$67.50","$76.28","$21.07","$46.43","68.79%"
"210000004854","","","SCOOT","","INSTALL SCOOTER TUBE/TIRE","0","3","$125.00","$0.00","$125.00","$141.25","$75.00","$50.00","40%"
"210000000089","","","","","Adjust Front *Disk Brake*","0","5","$125.00","$0.00","$125.00","$141.25","$0.00","$125.00","100%"
"210000000090","","","","","Adjust Rear *Disk Brake*","0","6","$165.00","$0.00","$165.00","$186.45","$0.00","$165.00","100%"
"210000005097","","","","CC-23-06-001-001","Royal Camping","0","1","$222.00","$0.00","$222.00","$250.86","$170.00","$52.00","23.42%"
"210000003405","768686682889","","GH-7068723","","STRATEDURE BLACK/BRIGHT RED XXL","0","1","$60.00","$9.00","$51.00","$57.63","$28.50","$22.50","44.12%"
"210000003849","660902387311","","710170-05","","Supacaz, Fly Cage Ano, Bottle Cage, Aluminum, GunMetal, 18g","3","5","$150.00","$13.50","$136.50","$154.25","$72.45","$64.05","46.92%"
"210000003916","058817386701","","914300-003","","NORCO BB CABLE GUIDE","4","2","$12.00","$0.00","$12.00","$13.56","$6.00","$6.00","50%"
