"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003938","","","16-010-00","","Chain Link Regular 1/2 x 1/8","8","1","$5.00","$0.00","$5.00","$5.65","$0.63","$4.37","87.4%"
"210000003683","058817462566","","160021-16","","49N STANDARD  (48mm P/V) 700 x 23-28c","13","2","$16.00","$0.00","$16.00","$18.08","$7.00","$9.00","56.25%"
"210000003445","","","011687-02-700","011687-02-700","EVO, Dekko, Tire, 700x25C, Wire, Clincher, Black","19","1","$25.00","$0.00","$25.00","$28.25","$8.99","$16.01","64.04%"
"210000002464","058817986284","","258482-02","258482-02","49N QR SEAT CLAMP 31.8MM","2","1","$13.00","$0.00","$13.00","$14.69","$5.00","$8.00","61.54%"
"210000000125","","","","","Install Tube","0","14","$150.00","$0.00","$150.00","$169.50","$0.00","$150.00","100%"
"210000004360","763416273764","","SPB-3","","Butterscotch Beer","41","1","$3.00","$0.00","$3.00","$3.39","$2.00","$1.00","33.33%"
"210000004361","608011748586","","SPB-25","","Face Melter","32","7","$21.00","$0.00","$21.00","$23.73","$0.00","$21.00","100%"
"210000004376","763416273702","","SPB-19","","ROOT BEER","38","4","$12.00","$0.00","$12.00","$13.56","$8.00","$4.00","33.33%"
"210000004369","763416273689","","SPB-8","","Cream Soda","36","10","$30.00","$0.00","$30.00","$33.90","$20.00","$10.00","33.33%"
"210000000160","058817823183","","160410-01","058817004247","700 X 28-32 PV(48) TUBE","-6","6","$48.00","$0.00","$48.00","$54.24","$21.00","$27.00","56.25%"
"210000004362","763416273641","","SPB-4","","Cola","47","1","$3.00","$0.00","$3.00","$3.39","$2.00","$1.00","33.33%"
"210000004162","058817930324","","250729-01","","49N V-BRAKE PADS 55MM","48","1","$8.00","$0.00","$8.00","$9.04","$2.90","$5.10","63.75%"
"210000000064","","","Bronze tune","","Bike Wash Bolt Tighten","0","16","$560.00","$0.00","$560.00","$632.80","$0.00","$560.00","100%"
"210000003757","086699735782","","010903-03-700","","Michelin, Dynamic Classic, Tire, 700x28C, Wire, Clincher, Single, 30TPI, Tanwall","0","2","$50.00","$0.00","$50.00","$56.50","$23.02","$26.98","53.96%"
"210000004197","","","670623-02","","EVO, Ergo Classic Grips, Lock-On, 131mm, Brown","16","2","$50.00","$0.00","$50.00","$56.50","$20.44","$29.56","59.12%"
"210000000363","","","","","SILVER TUNE UP","0","44","$3016.00","$0.00","$3016.00","$3408.08","$0.00","$3016.00","100%"
"210000000230","4715910000809","","250186-02","jagbcss","JAG RD SPRT SLK SS BRK 100PCS","0","12","$60.00","$0.00","$60.00","$67.80","$7.68","$52.32","87.2%"
"210000001280","4715910019238","","jagbh","","JAG SPT CGX-SL BRK OUT 50M BLK","0","39","$39.00","$0.00","$39.00","$44.07","$11.70","$27.30","70%"
"210000004001","","","20-219-33","","Freewheel 7sp 14-28T","-1","3","$75.00","$0.00","$75.00","$84.75","$27.00","$48.00","64%"
"210000004081","766759040512","","16-013-23","","KMC 8 Speed Chain Z8.1 118 Links","-2","5","$125.00","$0.00","$125.00","$141.25","$38.75","$86.25","69%"
"210000002942","4715910022894","","jagsh","","JAG BASIC LEX SHFT OUT BLK","-27","103","$103.00","$0.00","$103.00","$116.39","$41.20","$61.80","60%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","40","$200.00","$0.00","$200.00","$226.00","$52.80","$147.20","73.6%"
"210000000231","4715910019238","","250191-01","jagbh","JAG SPT CGX-SL BRK OUT 50M BLK","-14","29","$29.00","$0.00","$29.00","$32.77","$14.50","$14.50","50%"
"210000004343","6219201420300","","","14-081-07","Damco Sealed Cartridge 122.5 x 68mm","0","4","$80.00","$0.00","$80.00","$90.40","$25.00","$55.00","68.75%"
"210000003996","","","FV21028211","","Devinci Milano Disc Acera 24s SM Grey/Ylw","0","1","$850.00","$0.00","$850.00","$960.50","$507.00","$343.00","40.35%"
"210000002866","764459311406","","640015-01","","Mirrycle, Brass Duet Bell, Brass","29","1","$20.00","$2.00","$18.00","$20.34","$8.83","$9.17","50.94%"
"210000001869","058817931543","","170992-01","","49 ALLOY WATERBOTTLE CAGE-BLK","142","4","$44.00","$4.95","$39.05","$44.13","$17.00","$22.05","56.47%"
"210000003370","770612335912","","020175-14","","EVO, Presta, Tube, Length: 48mm, 700C, 23-25C","154","4","$36.00","$0.00","$36.00","$40.68","$9.16","$26.84","74.56%"
"210000002109","","","RIM","","RIM TAPE","0","17","$85.00","$0.53","$84.47","$95.45","$34.00","$50.47","59.75%"
"210000004377","763416273658","","SPB-11","","Grape","18","6","$18.00","$0.00","$18.00","$20.34","$12.00","$6.00","33.33%"
"210000003861","","","041-0255","","Westwood Black XL/21","0","1","$650.00","$0.00","$650.00","$734.50","$446.99","$203.01","31.23%"
"210000002715","886798014739","","C-1875001071","","PODIUM 24OZ BLACK","2","2","$40.00","$5.00","$35.00","$39.55","$17.00","$18.00","51.43%"
"210000002894","","","710845753374","500123-01","Sram PC 1130 Chain 11 spd 114 limks","0","1","$31.00","$0.00","$31.00","$35.03","$19.99","$11.01","35.52%"
"210000000209","696260037438","","174100-15","","LIZSKI DSP 2.5 TAPE - SKY B","-1","1","$63.99","$0.00","$63.99","$72.31","$32.00","$31.99","49.99%"
"210000000211","058817931659","","174231-01","","49N DLX CORK BAR TAPE - BLACK","2","1","$18.00","$0.00","$18.00","$20.34","$8.75","$9.25","51.39%"
"210000004290","047853121353","","54-073-10","","Kenda Tube 650 x 18-23c  PV 60mm","6","2","$18.00","$0.00","$18.00","$20.34","$8.54","$9.46","52.56%"
"210000003415","058817472800","","177753-01","","FLASCHEGUARD™ 700/41","0","1","$80.00","$0.00","$80.00","$90.40","$40.00","$40.00","50%"
