"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000364","","","Gold tune","","Bike Tune","0","42","$3735.00","$0.00","$3735.00","$4220.55","$0.00","$3735.00","100%"
"210000003771","","","skip","","SKIP THE LINE","0","2","$80.00","$0.00","$80.00","$90.40","$0.00","$80.00","100%"
"210000002215","","","spoke","","spoke","0","11","$33.00","$0.00","$33.00","$37.29","$5.50","$27.50","83.33%"
"210000002109","","","RIM","","RIM TAPE","0","12","$120.00","$0.00","$120.00","$135.60","$24.00","$96.00","80%"
"210000004295","047853651348","","011848-03-26","","Kenda, Amrak, Tire, 26""x2.20, Wire, Clincher, Single, 30, Black","20","1","$50.00","$0.00","$50.00","$56.50","$23.27","$26.73","53.46%"
"210000000131","","","","","True Rear Wheel","0","9","$265.00","$0.00","$265.00","$299.45","$0.00","$265.00","100%"
"210000005061","192790241814","4550170241810","","210477-01","Shimano, B05S-RX B-Type, Disc Brake Pads, Shape: Shimano B-Type, Resin, Pair, EBPB05SRXA","10","9","$145.98","$0.00","$145.98","$164.96","$71.91","$74.07","50.74%"
"210000001846","","","172212-01","","49N LED BAND HI-VIZ ORG","2","1","$15.00","$0.00","$15.00","$16.95","$7.50","$7.50","50%"
"210000004891","689228721029","4524667721024","","200739-01","Shimano, SM-BH90-SS, Hydraulic hose, 1700mm","-1","1","$33.00","$0.00","$33.00","$37.29","$17.49","$15.51","47%"
"210000000095","","","","","Bleed Hydraulic Brake","0","6","$210.00","$0.00","$210.00","$237.30","$0.00","$210.00","100%"
"210000003647","763477002709","","901130-01","","Park Tool, DH-1, Dummy hub","3","1","$16.74","$0.00","$16.74","$18.92","$16.74","$0.00","0.02%"
"210000001572","764459311420","","640015-02","","Mirrycle, Brass Duet Bell, Chrome","32","1","$20.00","$0.00","$20.00","$22.60","$9.49","$10.51","52.55%"
"210000004192","764459234958","","630010-01","","Mirrycle, Mirror For MTB/ Hybrids","24","5","$150.00","$0.00","$150.00","$169.50","$64.94","$85.06","56.71%"
"210000003297","768661258153","7290001258156","810127-02","","OnGuard, OG 5815, U-Lock, 106mm x 200mm (4.2'' x 7.9'') / Cable 10mm x 120cm (10mm x 4')","14","7","$350.00","$0.00","$350.00","$395.50","$105.80","$244.20","69.77%"
"210000002807","4710944246117","","255434-01","","SUNRACE TSM28 7SP TWISTSHFT RR","2","1","$7.00","$0.00","$7.00","$7.91","$4.50","$2.50","35.71%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","30","$146.32","$2.00","$144.32","$163.08","$39.60","$104.72","72.56%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","26","$130.00","$0.00","$130.00","$146.90","$52.00","$78.00","60%"
