"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","13","$88.00","$0.00","$88.00","$99.44","$32.37","$55.63","63.22%"
"210000002109","","","RIM","","RIM TAPE","0","8","$65.00","$0.00","$65.00","$73.45","$16.00","$49.00","75.38%"
"210000000125","","","","","Install Tube","0","15","$135.00","$0.00","$135.00","$152.55","$0.00","$135.00","100%"
"210000002767","058817462245","","160020-18","","49N STD 27.5 x 1.95-2.4"" S/V40","11","2","$17.00","$0.00","$17.00","$19.22","$8.00","$9.00","52.94%"
"210000000071","","","Rear Hub Service","Hub Service","Grease Rear Hub","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000004803","621920401830","","","40-134-13","HEADSET SEMI INTEGRATED 1 1/8 LOWER CUP","-2","2","$72.50","$0.00","$72.50","$81.93","$25.20","$47.30","65.24%"
"210000000083","","","","","Install Headset","0","1","$25.00","$0.00","$25.00","$28.25","$0.00","$25.00","100%"
"210000004384","763416273672","","SPB-26","","Orange","34","2","$6.00","$0.00","$6.00","$6.78","$4.00","$2.00","33.33%"
"210000000363","","","","","SILVER TUNE UP","0","12","$840.00","$0.00","$840.00","$949.20","$0.00","$840.00","100%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","16","$80.00","$0.00","$80.00","$90.40","$10.24","$69.76","87.2%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","8","$40.00","$0.00","$40.00","$45.20","$10.56","$29.44","73.6%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","37","$37.00","$0.00","$37.00","$41.81","$11.10","$25.90","70%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","23","$23.00","$0.00","$23.00","$25.99","$9.20","$13.80","60%"
"210000000190","058817985638","","173628-03","","49N DLX LOCK-DWN ERGO GRIP","-11","1","$25.00","$0.00","$25.00","$28.25","$12.50","$12.50","50%"
"210000004889","4717784017303","","","010873-03-26","Maxxis, Holy Roller, Tire, 26''x2.40, Wire, Clincher, Single, 60TPI, Black","0","2","$108.00","$0.00","$108.00","$122.04","$59.98","$48.02","44.46%"
"210000000124","","","","","Install Tire","0","10","$100.00","$0.00","$100.00","$113.00","$0.00","$100.00","100%"
"210000003293","710845504761","","500059-01","","SRAM, PC-1, 1sp chain, 114 links, 1/8'', w/snap lock T11, Silver","14","1","$25.00","$0.00","$25.00","$28.25","$10.88","$14.12","56.48%"
"210000004375","608011748609","","SPB-20","","BUTTER RUM","36","2","$6.00","$0.00","$6.00","$6.78","$4.00","$2.00","33.33%"
"210000004365","763416273870","","SPB-24","","GRAPEFRUIT","40","1","$3.00","$0.00","$3.00","$3.39","$0.00","$3.00","100%"
"210000001976","058817274503","","252855-02","","49 NORTH MTB PEDALS ALLOY BLACK 9/16","7","1","$20.00","$0.00","$20.00","$22.60","$10.00","$10.00","50%"
"210000004700","","","","50125","ARM 170mm LEFT SIL ALLOY DIAMNOD HOLE","3","1","$20.00","$0.00","$20.00","$22.60","$10.00","$10.00","50%"
"210000000328","710845610363","","","190118-02","AVID FR-5 BRK LVR PAIR BLK/BLK","2","1","$30.00","$3.90","$26.10","$29.49","$13.46","$12.64","48.42%"
"210000003750","621920540010","","54-026-01","","26 x 1.50-2.10 SV TUBE","-7","4","$32.00","$0.00","$32.00","$36.16","$11.60","$20.40","63.75%"
"210000000131","","","","","True Rear Wheel","0","4","$120.00","$0.00","$120.00","$135.60","$0.00","$120.00","100%"
"210000003952","621920120090","","12-009-11","","ALUMINUM PLATEFORM PEDAL","5","1","$40.00","$0.00","$40.00","$45.20","$18.95","$21.05","52.63%"
"210000004346","","","","10-112-49","Clamp Thread for Carrier 31.8mm","0","1","$22.00","$2.86","$19.14","$21.63","$7.69","$11.45","59.82%"
"210000003887","058817102516","","258473-01","","49N SUSPENSION SEATPOST 27.2 350mm SLV","17","1","$38.00","$4.94","$33.06","$37.36","$13.99","$19.07","57.68%"
"210000004209","4717784039268","","011746-06-275","","Maxxis, Rekon Race, Tire, 27.5''x2.25, Wire, Clincher, Single, EXO, 60TPI, Black","1","2","$104.00","$0.00","$104.00","$117.52","$61.58","$42.43","40.79%"
"210000003365","","","030031-02","763477008558","Park Tool, VP-1, Vulcanizing patch kit","32","1","$5.00","$0.00","$5.00","$5.65","$1.11","$3.89","77.8%"
"210000000417","725012028599","","650047-03","","Cat Eye, Velo Wireless + (Urban), Cyclocomputer, Black, Backlit","28","1","$75.00","$6.00","$69.00","$77.97","$37.75","$31.25","45.29%"
"210000002947","058817462276","","","160020-21","49N STD 700C x 35-50MM S/V40","-3","1","$9.00","$0.00","$9.00","$10.17","$4.50","$4.50","50%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","15","$75.00","$0.00","$75.00","$84.75","$30.00","$45.00","60%"
"210000004376","763416273702","","SPB-19","","ROOT BEER","38","2","$6.00","$0.24","$5.76","$6.51","$4.00","$1.76","30.56%"
"210000004430","181517000681","","","06-0016","ESI Grips Chunky Aqua","8","1","$30.00","$2.40","$27.60","$31.19","$14.99","$12.61","45.69%"
"210000004369","763416273689","","SPB-8","","Cream Soda","36","2","$6.00","$0.00","$6.00","$6.78","$4.00","$2.00","33.33%"
"210000004368","763416273863","","SPB-22","","BANNANA CREAM","37","1","$3.00","$0.00","$3.00","$3.39","$2.00","$1.00","33.33%"
"210000002215","","","spoke","","spoke","0","21","$56.50","$0.00","$56.50","$63.86","$10.50","$46.00","81.42%"
"210000004333","689228561632","4524667561637","","200828-02","Shimano, SM-RT26 Rotor, 160mm, ISO 6B","7","1","$16.00","$0.00","$16.00","$18.08","$8.24","$7.76","48.5%"
"210000000130","","","","","True Front Wheel","0","3","$80.00","$0.00","$80.00","$90.40","$0.00","$80.00","100%"
"210000001867","","","254696-05","","49N ADJ STEM-SILVER-25.4x110MM","2","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000001219","768686129797","","GR-7095263","","REGISTER MIPS MAT TI","-1","1","$90.00","$0.00","$90.00","$101.70","$40.80","$49.20","54.67%"
"210000000600","768686072505","","GR-7089236","","BRONTE MIPS MAT BLACK XL","0","1","$90.00","$0.00","$90.00","$101.70","$45.00","$45.00","50%"
"210000001005","770612223578","","160079-02","","EVO, Adjustable Stem, 22.2mm, For 25.4mm Handlebars, Black, 110mm","0","1","$60.00","$0.00","$60.00","$67.80","$30.07","$29.93","49.88%"
"210000004538","768686405075","","","GH-7127422","HAVOC BLACK L","0","1","$70.00","$0.00","$70.00","$79.10","$32.90","$37.10","53%"
"210000002710","768686152627","","BL-7097040","","DAYBLAZER 800 FRONT LIGHT","4","2","$200.00","$0.00","$200.00","$226.00","$97.00","$103.00","51.5%"
"210000003141","766759057107","","500303-01","","KMC, MissingLink, 6/7/8 speed IG,","0","2","$10.00","$0.00","$10.00","$11.30","$7.98","$2.02","20.2%"
"210000000099","","","","","Adjust Rear Derailleur","0","5","$100.00","$0.00","$100.00","$113.00","$0.00","$100.00","100%"
"210000000368","770612276086","","030019-01","","Varia, Presta valve adapters, bottle of 50","156","1","$2.00","$0.00","$2.00","$2.26","$0.35","$1.65","82.5%"
"210000002770","058817462559","","160021-15","","49N STD 27.5 x 1.95-2.4"" P/V48","0","2","$18.00","$1.80","$16.20","$18.31","$9.00","$7.20","44.44%"
"210000003702","047853647235","","011847-02-700","","Kenda, Alluvium, Tire, 700x35C, Folding, Tubeless Ready","0","1","$90.00","$0.00","$90.00","$101.70","$45.11","$44.89","49.88%"
"210000004794","848712067566","","","161883-05","VEE RUBBER SPEEDSTER BP TIRE 700 x 35c TR","0","1","$46.00","$0.00","$46.00","$51.98","$25.00","$21.00","45.65%"
"210000004232","058817397141","","253038-03","","WELLGO C336 URBAN ALLOY FLAT PEDAL","14","1","$27.00","$0.00","$27.00","$30.51","$12.32","$14.68","54.37%"
"210000003679","183720000731","","168825-02","","NO TUBES UNIVERSAL TUBELESS VALVE STEMS44mm","5","2","$50.00","$0.00","$50.00","$56.50","$25.00","$25.00","50%"
"210000004219","192790619163","4550170619169","380525-06","","Shimano, BB-UN300-K, Square Taper BB, British, 68mm, : 117.5mm, Silver","10","3","$75.00","$0.00","$75.00","$84.75","$35.97","$39.03","52.04%"
"210000000079","","","","","Install Sealed BB *Sealed Cartridge*","0","2","$60.00","$0.00","$60.00","$67.80","$0.00","$60.00","100%"
"210000004295","047853651348","","011848-03-26","","Kenda, Amrak, Tire, 26""x2.20, Wire, Clincher, Single, 30, Black","20","1","$50.00","$0.00","$50.00","$56.50","$23.27","$26.73","53.46%"
"210000004874","753759279790","","","620946-01","Garmin, Varia RCT715, Light, Rear, Black","1","1","$410.00","$0.00","$410.00","$463.30","$399.99","$10.01","2.44%"
"210000004377","763416273658","","SPB-11","","Grape","18","2","$6.00","$0.00","$6.00","$6.78","$4.00","$2.00","33.33%"
"210000004509","768686199639","","","GH-7099305","COMP HIGH RISE BLK HEATWAVE XL","0","1","$23.00","$0.00","$23.00","$25.99","$11.50","$11.50","50%"
"210000004708","770612336650","","","011691-01-12","EVO, Splash, Tire, 12''x2-1/4, Wire, Clincher, Black","0","4","$76.00","$0.00","$76.00","$85.88","$23.32","$52.68","69.32%"
"210000001956","058817275326","","160030-01","","12.52.00X2.25 SIDE VALVE TUBE","1","3","$30.00","$0.00","$30.00","$33.90","$15.00","$15.00","50%"
"210000004126","058817470844","","254006-01","","49N FORMFIT ERGO 142 - MEMORY FOAM SADDLE","1","1","$47.00","$0.00","$47.00","$53.11","$15.99","$31.01","65.98%"
"210000004104","660902387342","","710170-08","","Supacaz, Fly Cage Ano, Bottle Cage, Aluminum, Aqua, 18g","9","1","$30.00","$0.00","$30.00","$33.90","$14.49","$15.51","51.7%"
"210000003330","058817470851","","254006-02","","49N FORMFIT ERGO 175 M/F SDL","23","2","$94.00","$0.00","$94.00","$106.22","$32.00","$62.00","65.96%"
"210000000345","710845504839","","312819-01","","SRAM PC830 CHAIN 8SPD","0","7","$175.00","$0.00","$175.00","$197.75","$52.50","$122.50","70%"
