"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000364","","","Gold tune","","Bike Tune","0","6","$540.00","$0.00","$540.00","$610.20","$0.00","$540.00","100%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","27","$27.00","$0.50","$26.50","$29.95","$10.80","$15.70","59.25%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","16","$80.00","$1.25","$78.75","$88.99","$21.12","$57.63","73.18%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","28","$28.00","$0.00","$28.00","$31.64","$8.40","$19.60","70%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","12","$55.64","$0.00","$55.64","$62.87","$7.68","$47.96","86.2%"
"210000000345","710845504839","","312819-01","","SRAM PC830 CHAIN 8SPD","0","7","$170.00","$0.00","$170.00","$192.10","$52.50","$117.50","69.12%"
"210000004022","","","26-432-08","","Rear 26 Rhyno Blk Freewheel QR","0","1","$87.00","$0.00","$87.00","$98.31","$46.20","$40.80","46.9%"
"210000004162","058817930324","","250729-01","","49N V-BRAKE PADS 55MM","48","2","$16.00","$0.00","$16.00","$18.08","$5.80","$10.20","63.75%"
"210000002967","058817462238","","160020-17","","49N STD 26 x 1.95-2.40 SV","9","3","$24.00","$0.00","$24.00","$27.12","$10.80","$13.20","55%"
"210000003792","047853631746","","010830-03-26","","Kenda, K850, Tire, 26''x2.10, Wire, Clincher, SRC, 37TPI, Black","6","3","$102.00","$0.00","$102.00","$115.26","$36.15","$65.85","64.56%"
"210000004762","","","","20-118-25","FREEWHEEL 7sp MF-TZ07 14-28T","0","3","$90.00","$0.00","$90.00","$101.70","$38.85","$51.15","56.83%"
"210000000349","763477000293","","340572","","PARK FOLDING HEX WRENCH AWS-10","0","1","$20.00","$0.00","$20.00","$22.60","$8.00","$12.00","60%"
"210000002769","058817462269","","","160020-20","49N STD 700C x 28-35MM S/V40","7","1","$8.00","$0.00","$8.00","$9.04","$3.73","$4.27","53.36%"
"210000000125","","","","","Install Tube","0","12","$105.00","$0.00","$105.00","$118.65","$0.00","$105.00","100%"
"210000004372","763416273887","","SPB-9","","Octoberfest Rootbeer","36","1","$3.00","$0.00","$3.00","$3.39","$2.00","$1.00","33.33%"
"210000000363","","","","","SILVER TUNE UP","0","19","$1290.00","$0.00","$1290.00","$1457.70","$0.00","$1290.00","100%"
"210000004737","770612271852","","","450055-01","EVO, Freefall Plus, Platform pedals, Removable pins, Black","0","2","$100.00","$0.00","$100.00","$113.00","$49.98","$50.02","50.02%"
"210000003297","768661258153","7290001258156","810127-02","","OnGuard, OG 5815, U-Lock, 106mm x 200mm (4.2'' x 7.9'') / Cable 10mm x 120cm (10mm x 4')","14","3","$150.00","$5.00","$145.00","$163.85","$44.97","$100.03","68.99%"
"210000004247","058817102523","","258473-02","","49N SUSPENSION SEATPOST 27.2mm x 350","2","1","$42.00","$0.00","$42.00","$47.46","$21.00","$21.00","50%"
"210000004206","713835018651","","659631-01","","SERFAS DD CITY BIKE WS","11","1","$45.00","$0.00","$45.00","$50.85","$20.92","$24.08","53.51%"
"210000002109","","","RIM","","RIM TAPE","0","9","$42.00","$0.00","$42.00","$47.46","$18.00","$24.00","57.14%"
"210000000189","058817934254","","173626-01","","49N LOCK-DOWN PRFRMNC MTB GRIP","2","2","$44.00","$0.00","$44.00","$49.72","$22.00","$22.00","50%"
"210000004390","4718152663115","","","54-074-37","ICETOOLZ Valve Core Tool","0","1","$16.50","$0.00","$16.50","$18.65","$8.27","$8.23","49.88%"
"210000004790","058817462221","","","160020-16","49N 49N STD 26 x 1.50-1.95"" S/V40","9","1","$8.00","$0.00","$8.00","$9.04","$3.25","$4.75","59.38%"
"210000004463","192790378619","4550170378615","","500238-03","Shimano, CN-HG701-11, Chain, Speed: 11, 5.5mm, Links: 126, Silver","1","2","$126.00","$15.75","$110.25","$124.58","$99.98","$10.27","9.32%"
"210000004768","4710944252378","","","120596-01","Sun Race, CSMX8, 11sp. Cassette, 11-46T","1","1","$140.00","$35.00","$105.00","$118.65","$75.99","$29.01","27.63%"
"210000004116","","","50126","","Arm 170mm Left Blk Alloy Diamond Hole","-6","1","$22.00","$0.00","$22.00","$24.86","$10.00","$12.00","54.55%"
"210000004862","","","","891046-01","Garmin, Tacx Flux 2 Smart, Trainer, Magnetic","0","1","$1000.00","$0.00","$1000.00","$1130.00","$703.99","$296.01","29.6%"
"210000004837","","","","","WHEEL BUILD","0","1","$80.00","$0.00","$80.00","$90.40","$0.00","$80.00","100%"
