"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003144","768661280123","7290001280126","810172-01","","OnGuard, Bulldog DT 8012, U-Lock, 13 mm x 115mm x 230mm / 10mm x 120cm (13mm x 4.5'' x 9'' / 10mm x 4')","1","1","$60.00","$0.00","$60.00","$67.80","$25.79","$34.21","57.02%"
"210000000125","","","","","Install Tube","0","32","$260.00","$0.00","$260.00","$293.80","$0.00","$260.00","100%"
"210000002442","770612336179","","020176-20","","EVO, Schrader, Tube, Schrader, Length: 35mm, 700C, 28-32C","70","9","$81.00","$0.00","$81.00","$91.53","$26.91","$54.09","66.78%"
"210000001890","","","160410-01","","700 X 28-35 PV(48) TUBE","6","17","$136.00","$0.00","$136.00","$153.68","$63.75","$72.25","53.13%"
"210000001957","","","160342-01","","700X 18X25 PRESTA 48MM TUBE","3","2","$15.00","$0.00","$15.00","$16.96","$7.50","$7.50","50%"
"210000002773","058817462504","","160021-23","","49N STD 29 x 1.95-2.40"" P/V48","14","5","$50.00","$0.00","$50.00","$56.50","$25.00","$25.00","50%"
"210000003213","","","011675-04-29","","Goodyear, Peak, Tire, 29''x2.25, Folding, Tubeless Ready, Dynamic:A/T, Ultimate, 120TPI, Black","30","3","$140.98","$19.00","$121.98","$137.84","$68.97","$53.01","43.46%"
"210000002803","4710944252279","","255417-06","","SUNRACE BBS15 SQ TAP BB 68X118","0","1","$25.00","$0.00","$25.00","$28.25","$7.75","$17.25","69%"
"210000000363","","","","","SILVER TUNE UP","0","33","$2260.00","$0.00","$2260.00","$2553.80","$0.00","$2260.00","100%"
"210000000131","","","","","True Rear Wheel","0","8","$210.00","$0.00","$210.00","$237.30","$0.00","$210.00","100%"
"210000003196","768686731105","","BL-7074412","","CLICK USB REAR LIGHT BLACK","4","9","$270.00","$4.50","$265.50","$300.02","$135.00","$130.50","49.15%"
"210000001888","","","254696-01","","49N DUAL POS. BAR ENDS - 175MM","0","1","$30.00","$0.00","$30.00","$33.90","$15.00","$15.00","50%"
"210000000268","4715910023761","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","2","25","$125.00","$0.40","$124.60","$140.80","$34.16","$90.44","72.59%"
"210000001525","689228403093","","400177-01","","Shimano, Y1P417000, FC-6800, Crank arm fixing bolt","0","1","$10.00","$0.00","$10.00","$11.30","$2.49","$7.51","75.1%"
"210000002729","768686022494","","GH-7075919","","DND BLACK XL","0","1","$40.00","$0.00","$40.00","$45.20","$20.00","$20.00","50%"
"210000000099","","","","","Adjust Rear Derailleur","0","23","$345.00","$0.00","$345.00","$389.85","$0.00","$345.00","100%"
"210000002813","710845504761","","312825-01","","SRAM PC1 CHAIN NP SINGLE SPEED","0","2","$50.00","$0.00","$50.00","$56.50","$18.50","$31.50","63%"
"210000002823","713835244142","","659666-01","","Serfas RX Cruiser Saddle Lycra","5","1","$70.00","$0.00","$70.00","$79.10","$34.50","$35.50","50.71%"
"210000003271","","","040742-03-700","","Wheel Shop, Alex Ace17 Silver/ Formula FM-31-QR, Wheel, Rear, 700C / 622, Holes: 36, QR, 135mm, Rim, Freewheel","0","1","$74.99","$0.00","$74.99","$84.74","$37.49","$37.50","50.01%"
"210000000153","058817004193","","160310","","26 X 1.50-2.25 (SV)35 TUBE","0","1","$7.00","$0.00","$7.00","$7.91","$3.25","$3.75","53.57%"
"210000002858","710845610363","","190118-02","","Avid, SRAM, FR-5, Brake Levers, Pair, Black","0","3","$84.00","$0.00","$84.00","$94.92","$35.61","$48.39","57.61%"
"210000001972","4717592023237","","250424-02","","TEKTRO MD-M280MECHANICAL DISK 160 RR","3","3","$108.00","$0.00","$108.00","$122.04","$54.00","$54.00","50%"
"210000000229","4715910000786","","250186-01","jagbcssmtn","JAG MTN SPRT SLK SS BRK 100PCS","-7","20","$100.00","$0.80","$99.20","$112.10","$32.00","$67.20","67.74%"
"210000001280","4715910019238","","jagbh","","JAG SPT CGX-SL BRK OUT 50M BLK","0","3","$3.00","$0.00","$3.00","$3.39","$0.90","$2.10","70%"
"210000001434","","4026495675413","010970-02-26","","Schwalbe, HS159, Tire, 26''x1-3/8, Wire, Clincher, SBC, KevlarGuard, 50TPI, Black","0","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000002825","713835900093","","659677-02","659677-02","SERFAS E-GEL CRUISER ELAST-VIN","16","3","$210.00","$0.00","$210.00","$237.30","$99.75","$110.25","52.5%"
"210000003220","770612307551","","570004-01","","EVO, Seatpost clamp, Steel, Black","-2","2","$12.00","$0.00","$12.00","$13.56","$3.98","$8.02","66.83%"
"210000002719","","","GH-7085629","","BRAVO GEL BLACK M","0","1","$40.00","$0.00","$40.00","$45.20","$20.00","$20.00","50%"
"210000000095","","","","","Bleed Hydraulic Brake","0","3","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000002860","689228601468","4524667601463","260155-01","","Shimano, Tourney RD-TX800, Rear derailleur, 7-8sp., SGS","3","2","$60.00","$0.00","$60.00","$67.80","$28.48","$31.52","52.53%"
"210000000100","","","","","Install Rear Derailleur","0","3","$55.00","$0.00","$55.00","$62.15","$0.00","$55.00","100%"
"210000001900","","","171230-01","","49N 26"" - 700C ALLOY RACK BLK EA","0","2","$60.00","$0.00","$60.00","$67.80","$30.00","$30.00","50%"
"210000002852","770612341692","","130209-01","","EVO, Power Guard, Fender, 700 x 32 to 40C, Black, Pair","0","2","$104.00","$0.00","$104.00","$117.52","$49.28","$54.72","52.62%"
"210000001663","","","FL-K04","","WAX LUBE 4OZ","1","3","$45.00","$0.00","$45.00","$50.85","$19.50","$25.50","56.67%"
"210000002109","","","RIM","","RIM TAPE","0","8","$40.00","$0.00","$40.00","$45.20","$16.00","$24.00","60%"
"210000002861","689228393684","4524667393689","260202-01","","Shimano, Tourney RD-TY500, Rear derailleur, 6/7sp., SGS, Black, With adaptor","0","2","$32.00","$0.00","$32.00","$36.16","$19.94","$12.06","37.69%"
"210000000242","4715910018859","","jagbrake","250677-02","JAG MTN SPRT V-BRK PADS set","0","2","$16.00","$0.00","$16.00","$18.08","$8.00","$8.00","50%"
