System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000000010,,,,,Labour,MENS Black City Cyclery DRI-BLEND BLACK/WHITE MEDIUM,0,1,$25.00,$0.00,$25.00,$28.25,$10.00,$15.00,60%
210000000064,,,Bronze tune,,Product,Bike Wash Bolt Tighten,0,119,"$4,165.00",$0.00,"$4,165.00","$4,706.45",$0.00,"$4,165.00",100%
210000000065,,,Front Hub Service,Hub Service,Labour,Grease Front Hub,0,7,$195.00,$0.00,$195.00,$220.35,$0.00,$195.00,100%
210000000066,,,,,Labour,Adjust Front Hub Cones,0,4,$45.00,$0.00,$45.00,$50.85,$0.00,$45.00,100%
210000000071,,,Rear Hub Service,Hub Service,Labour,Grease Rear Hub,0,53,"$1,545.00",$0.00,"$1,545.00","$1,745.85",$0.00,"$1,545.00",100%
210000000072,,,,,Labour,Adjust Rear Hub Cones,0,12,$205.00,$0.00,$205.00,$231.65,$0.00,$205.00,100%
210000000073,,,,,Labour,Install New Bearings *Caged*,0,1,$20.00,$0.00,$20.00,$22.60,$0.00,$20.00,100%
210000000076,,,,,Labour,Install Loose Bearings In FHB,0,2,$20.00,$0.00,$20.00,$22.60,$0.00,$20.00,100%
210000000077,,,,,Labour,"Overhaul *Clean, Grease, Adjust, Install Bearings*",0,2,$80.00,$0.00,$80.00,$90.40,$0.00,$80.00,100%
210000000078,,,,,Labour,Grease BB *Sealed Cartridge*,0,1,$30.00,$0.00,$30.00,$33.90,$0.00,$30.00,100%
210000000079,,,,,Labour,Install Sealed BB *Sealed Cartridge*,0,62,"$1,850.00",$0.00,"$1,850.00","$2,090.50",$0.00,"$1,850.00",100%
210000000080,,,,,Labour,Install *Caged Bearings*,0,2,$50.00,$0.00,$50.00,$56.50,$0.00,$50.00,100%
210000000081,,,,,Labour,Install *Loose Bearings*,0,6,$120.00,$0.00,$120.00,$135.60,$0.00,$120.00,100%
210000000082,,,,,Labour,Install Press Fit BB,0,7,$255.00,$0.00,$255.00,$288.15,$0.00,$255.00,100%
210000000083,,,,,Labour,Install Headset,0,4,$100.00,$0.00,$100.00,$113.00,$0.00,$100.00,100%
210000000086,,,,,Labour,Adjust Headset,0,7,$100.00,$0.00,$100.00,$113.00,$0.00,$100.00,100%
210000000087,,,,,Labour,Adjust Front *V-Brake*,0,108,"$1,757.50",$0.00,"$1,757.50","$1,985.98",$0.00,"$1,757.50",100%
210000000088,,,,,Labour,Adjust Rear *V-Brake*,0,119,"$1,942.50",$0.00,"$1,942.50","$2,195.03",$0.00,"$1,942.50",100%
210000000089,,,,,Labour,Adjust Front *Disk Brake*,0,45,$955.00,$0.00,$955.00,"$1,079.15",$0.00,$955.00,100%
210000000090,,,,,Labour,Adjust Rear *Disk Brake*,0,48,$990.00,$0.00,$990.00,"$1,118.70",$0.00,$990.00,100%
210000000091,,,,,Labour,Install V-Brake *Front/Rear*,0,6,$115.00,$0.00,$115.00,$129.95,$0.00,$115.00,100%
210000000092,,,,,Labour,Install Mechanical Brake *Front/Rear*,0,6,$170.00,$0.00,$170.00,$192.10,$0.00,$170.00,100%
210000000093,,,,,Labour,True Rotor,0,20,$315.00,$0.00,$315.00,$355.96,$0.00,$315.00,100%
210000000094,,,,,Labour,Adjust Hydraulic Brakes,0,4,$60.00,$0.00,$60.00,$67.80,$0.00,$60.00,100%
210000000095,,,,,Labour,Bleed Hydraulic Brake,0,106,"$3,416.00",$0.00,"$3,416.00","$3,860.08",$0.00,"$3,416.00",100%
210000000096,,,,,Labour,Flush Hydraulic Brake,0,1,$15.00,$0.00,$15.00,$16.95,$0.00,$15.00,100%
210000000097,,,,,Labour,Install Hydraulic Brake *Front/Rear*,0,7,$202.50,$0.00,$202.50,$228.83,$0.00,$202.50,100%
210000000098,,,,,Labour,Install Hydraulic *Hoses/Fittings/Bleed*,0,2,$80.00,$0.00,$80.00,$90.40,$0.00,$80.00,100%
210000000099,,,,,Labour,Adjust Rear Derailleur,0,215,"$3,895.00",$0.00,"$3,895.00","$4,401.35",$0.00,"$3,895.00",100%
210000000100,,,,,Labour,Install Rear Derailleur,0,21,$530.00,$3.00,$527.00,$595.51,$0.00,$527.00,100%
210000000101,,,,,Labour,Hanger True,0,91,"$2,190.00",$0.00,"$2,190.00","$2,474.70",$0.00,"$2,190.00",100%
210000000104,,,,,Labour,Adjust Front Derailleur,0,68,"$1,210.00",$0.00,"$1,210.00","$1,367.30",$0.00,"$1,210.00",100%
210000000105,,,,,Labour,Install Front Derailleur,0,4,$105.00,$0.00,$105.00,$118.65,$0.00,$105.00,100%
210000000109,,,,,Labour,Install Brake Cable,0,4,$40.00,$0.00,$40.00,$45.20,$0.00,$40.00,100%
210000000110,,,,,Labour,Install Shifter Cable,0,5,$50.00,$0.00,$50.00,$56.50,$0.00,$50.00,100%
210000000115,,,,,Labour,Install Mountain Crank *Set*,0,2,$60.00,$0.00,$60.00,$67.80,$0.00,$60.00,100%
210000000116,,,,,Labour,Install Road Crank *Set*,0,1,$30.00,$0.00,$30.00,$33.90,$0.00,$30.00,100%
210000000117,,,,,Labour,Install Non-Drive Side Crank Arm,0,3,$35.00,$0.00,$35.00,$39.55,$0.00,$35.00,100%
210000000118,,,,,Labour,Install Pedals,0,2,$20.00,$0.00,$20.00,$22.60,$0.00,$20.00,100%
210000000119,,,,,Labour,Install Suspension Fork,0,1,$35.00,$0.00,$35.00,$39.55,$0.00,$35.00,100%
210000000120,,,,,Labour,Install Rigid Fork,0,1,$35.00,$0.00,$35.00,$39.55,$0.00,$35.00,100%
210000000124,,,,,Labour,Install Tire,0,363,"$3,532.00",$0.00,"$3,532.00","$3,991.16",$0.00,"$3,532.00",100%
210000000125,,,,,Labour,Install Tube,0,824,"$7,470.00",$0.00,"$7,470.00","$8,441.10",$0.00,"$7,470.00",100%
210000000126,,,,,Labour,Install Multi-Speed Chain,0,74,"$2,194.00",$0.00,"$2,194.00","$2,479.22",$0.00,"$2,194.00",100%
210000000127,,,,,Labour,Install Single Speed Chain,0,18,$290.00,$0.00,$290.00,$327.70,$0.00,$290.00,100%
210000000129,,,,,Labour,Install Chainring,0,2,$40.00,$0.00,$40.00,$45.20,$0.00,$40.00,100%
210000000130,,,,,Labour,True Front Wheel,0,78,"$1,980.00",$0.00,"$1,980.00","$2,237.40",$0.00,"$1,980.00",100%
210000000131,,,,,Labour,True Rear Wheel,0,263,"$8,000.00",$0.00,"$8,000.00","$9,040.00",$0.00,"$8,000.00",100%
210000000135,,,,,Labour,Install Brake Pads,0,3,$40.00,$0.00,$40.00,$45.20,$0.00,$40.00,100%
210000000141,,,,,Labour,Front Hydraulic Rebuild,0,1,$50.00,$0.00,$50.00,$56.50,$0.00,$50.00,100%
210000000145,,,,,Labour,Bike Packing/Boxing,0,8,$480.00,$0.00,$480.00,$542.40,$0.00,$480.00,100%
210000000147,58817004056,,160070,,Product,16 X 1.75-2.125 SV(35) TUBE,23,15,$100.00,$0.00,$100.00,$113.00,$37.50,$62.50,62.50%
210000000148,58817004100,,160130,,Product,20 X 1.75-2.125 SV(35) TUBE,1,9,$63.00,$0.00,$63.00,$71.19,$27.00,$36.00,57.14%
210000000149,58817994685,,160130-04,,Product,20 X 2.125-2.30 SV(35) TUBE,0,9,$63.00,$0.00,$63.00,$71.19,$27.00,$36.00,57.14%
210000000150,58817004148,,160190,,Product,24 X 1.9-2.125 SV(35) TUBE,1,7,$49.00,$0.00,$49.00,$55.37,$21.00,$28.00,57.14%
210000000151,58817004162,,160230,,Product,26 X 1-1/4-1-3/8 SV(35) TUBE ~,0,19,$117.00,$0.00,$117.00,$132.21,$57.00,$60.00,51.28%
210000000152,58817244759,,160308,,Product,26 X 1.50-1.75 (35) TUBE   ~,0,6,$42.00,$0.00,$42.00,$47.46,$19.50,$22.50,53.57%
210000000153,58817004193,,160310,,Product,26 X 1.50-2.25 (SV)35 TUBE,0,1,$7.00,$0.00,$7.00,$7.91,$3.25,$3.75,53.57%
210000000155,58817693694,,160322,,Product,29 X 1.90-2.30 PV(48) TUBE,0,5,$45.00,$0.00,$45.00,$50.85,$22.50,$22.50,50%
210000000157,58817503689,,160342-01,,Product,700 X 18-20 PV(48) TUBE,0,2,$14.00,$0.00,$14.00,$15.82,$7.00,$7.00,50%
210000000158,58817658099,,160365,,Product,650 X 18-23C PV(48) TUBE,0,2,$14.00,$0.00,$14.00,$15.82,$7.00,$7.00,50%
210000000160,58817823183,,160410-01,58817004247,Product,700 X 28-32 PV(48) TUBE,-6,54,$401.00,$4.00,$397.00,$448.61,$189.00,$208.00,52.39%
210000000172,4026495673778,,166118-03,,Product,SWB RAPID ROB KG SBC 29x2.25W,1,14,$448.00,$0.00,$448.00,$506.24,$224.00,$224.00,50%
210000000179,58817931635,,171001-01,,Product,49N DLX HANDLEBAR BOTTLE CAGE,14,17,$330.00,$22.00,$308.00,$348.04,$137.34,$170.66,55.41%
210000000180,883466011267,,171206-01,,Product,UNI SUPERTOURIST DX W/DISC,2,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
210000000181,768661117535,,171213,,Product,SUPER TOURIST RACK DX,0,2,$139.98,$7.00,$132.98,$150.27,$70.00,$62.98,47.36%
210000000183,58817374975,,171332,,Product,TRANSIT TUBULAR RACK BLK,0,1,$36.99,$0.00,$36.99,$41.80,$18.50,$18.49,49.99%
210000000189,58817934254,,173626-01,,Product,49N LOCK-DOWN PRFRMNC MTB GRIP,2,28,$605.00,$1.76,$603.24,$681.66,$308.00,$295.24,48.94%
210000000190,58817985638,,173628-03,,Product,49N DLX LOCK-DWN ERGO GRIP,-11,41,$914.00,$19.65,$894.35,"$1,010.61",$437.50,$456.85,51.08%
210000000200,696260037704,,174100-05,,Product,LIZSKI DSP 2.5 TAPE - GREEN,0,1,$63.99,$0.00,$63.99,$72.31,$32.00,$31.99,49.99%
210000000202,696260037568,,174100-07,,Product,LIZSKI DSP 2.5 TAPE - NEO PINK,0,1,$63.99,$0.00,$63.99,$72.31,$32.00,$31.99,49.99%
210000000209,696260037438,,174100-15,,Product,LIZSKI DSP 2.5 TAPE - SKY B,-1,2,$95.99,$0.00,$95.99,$108.47,$64.00,$31.99,33.33%
210000000211,58817931659,,174231-01,,Product,49N DLX CORK BAR TAPE - BLACK,2,21,$406.00,$2.70,$403.30,$455.73,$180.75,$222.55,55.18%
210000000214,58817160219,,174409-01,,Product,"49N DLX DBL LEG K-STND 24-29""",0,15,$785.00,$0.00,$785.00,$887.05,$367.50,$417.50,53.18%
210000000215,58817042911,,175001-04,,Product,49N ZOONIMAL LED LIGHT -PANDA,1,1,$0.00,$0.00,$0.00,$0.00,$15.00,-$15.00,
210000000220,764459234958,,176271,,Product,MOUNTAIN MIRRYCLE MIRROR,0,2,$59.98,$0.00,$59.98,$67.78,$26.50,$33.48,55.82%
210000000221,768661115135,,176303,,Product,JOEBLOW SPRINT FLOOR PUMP,0,1,$60.00,$0.00,$60.00,$67.80,$45.00,$15.00,25%
210000000226,851061001624,,183410-01,,Product,ROAD MACHINE | SMART,0,2,$800.00,$0.00,$800.00,$904.00,$650.00,$150.00,18.75%
210000000228,851061001150,,183520-01,,Product,QR TRAINER SKEWER,-1,1,$14.99,$0.00,$14.99,$16.94,$7.50,$7.49,49.97%
210000000229,4715910000786,,250186-01,jagbcssmtn,Product,JAG MTN SPRT SLK SS BRK 100PCS,-7,251,"$1,200.60",$2.30,"$1,198.30","$1,354.11",$982.40,$215.90,18.02%
210000000230,4715910000809,,250186-02,jagbcss,Product,JAG RD SPRT SLK SS BRK 100PCS,0,139,$677.56,$0.00,$677.56,$765.65,"$2,172.16","-$1,494.60",-220.59%
210000000231,4715910019238,,250191-01,jagbh,Product,JAG SPT CGX-SL BRK OUT 50M BLK,-14,515,$495.00,$1.04,$493.96,$558.20,$257.50,$236.46,47.87%
210000000232,4717592013887,,250275-01,,Product,TEKTRO RL570 CX LVR 26MM BLK,0,2,$51.98,$0.00,$51.98,$58.74,$26.00,$25.98,49.98%
210000000233,4717592022742,,250275-02,,Product,TEKTRO RL570 CX LVR 24MM BLK,1,2,$55.99,$0.00,$55.99,$63.27,$26.00,$29.99,53.56%
210000000234,4717592009637,,250280-01,,Product,TEKTRO RL721 TOP LEVER 31.8MM,1,1,$33.99,$0.00,$33.99,$38.41,$17.00,$16.99,49.99%
210000000238,58817214127,,250381-02,,Product,TEKTRO R525 39-51MM BLK RR,0,1,$41.99,$0.00,$41.99,$47.45,$21.00,$20.99,49.99%
210000000241,4717592021981,,250397-02,,Product,TRP SPYRE FM MECH DSC CLPR BLK,0,2,$99.60,$0.00,$99.60,$112.55,$99.60,$0.00,0%
210000000242,4715910018859,,jagbrake,250677-02,Product,JAG MTN SPRT V-BRK PADS set,0,9,$72.00,$0.00,$72.00,$81.36,$36.00,$36.00,50%
210000000255,4715575126135,,251251-05,,Product,KMC MISSINGLINK 9R SILVER 6PRS,1,4,$20.00,$0.00,$20.00,$22.60,$10.00,$10.00,50%
210000000262,641300600127,,252980-05,,Product,CRABRO PREMIUM CLEATS MTB,7,5,$179.95,$0.00,$179.95,$203.35,$107.50,$72.45,40.26%
210000000263,657993061497,,253028-01,,Product,WELLGO 98A REPLACEMENT CLEATS,6,5,$99.99,$0.00,$99.99,$112.99,$42.50,$57.49,57.50%
210000000264,58817211003,,253038-01,,Product,WELLGO C016 FLAT PEDAL SIL,0,1,$21.99,$0.00,$21.99,$24.85,$11.00,$10.99,49.98%
210000000265,58817931390,,253040-01,,Product,49N STRAPLESS TOE CLIPS,-1,3,$30.00,$1.00,$29.00,$32.77,$14.00,$15.00,51.72%
