ID,Date,Item #,Description,Category,Qty,Retail,Subtotal,Discount
6847,2020-09-16,210000002056,ESI GRIPS EXTRA CHUNKY BLACK,Product,2,$35.00,$70.00,$0.00
6847,2020-09-16,210000002004,"Chamois Butt'R, Her, Box of 10, 9ml packet",Product,2,$2.50,$5.00,$0.00
7455,2020-08-04,210000002769,49N STD 700C x 28-35MM S/V40,Product,1,$7.00,$7.00,$0.00
7455,2020-08-04,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7455,2020-08-04,210000002666,PRIME SLD MAT BLU L/XL,Product,1,$85.00,$85.00,$0.00
7455,2020-08-04,210000000125,Install Tube,Labour,2,$10.00,$20.00,$0.00
7456,2020-08-04,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7456,2020-08-04,210000002769,49N STD 700C x 28-35MM S/V40,Product,1,$7.00,$7.00,$0.00
7457,2020-08-04,210000000000," (Work order #1770, Item: Supercycle Red/Silver
True front and rear wheels check to see if frame is straight. Bike was in an accident 

*frame is not bent*)",Quote,1,$0.00,$0.00,$0.00
7457,2020-08-04,210000000130,True Front Wheel,Labour,1,$25.00,$25.00,$0.00
7457,2020-08-04,210000000131,True Rear Wheel,Labour,1,$30.00,$30.00,$0.00
7458,2020-08-04,210000000000, (AAA Battery ),Labour,2,$1.00,$2.00,$0.00
7459,2020-08-04,210000003210,"EVOC, Seat Bag M, Seat Bag, 0.7L, Black",Product,1,$40.00,$40.00,$0.00
7460,2020-08-04,210000002758,ESI GRIPS ROAD WRAP BLACK,Product,1,$36.50,$36.50,$0.00
7460,2020-08-04,210000002562,Endura Bag Shorts XL BLK,Product,1,$85.00,$85.00,$0.00
7460,2020-08-04,210000003219,"Look, GEO TREKKING ROC, Pedals, Body: Alloy, Spindle: Cr-Mo, 9/16'', Black, Pair",Product,1,$111.99,$111.99,$0.00
7461,2020-08-04,210000002973,SERFAS E-GEL CRUISER W/CUT OUT,Product,1,$60.00,$60.00,$0.00
7462,2020-08-04,210000003151,SWB LAND CRSR PP SBC 26X2.0W,Product,1,$30.00,$30.00,$0.00
