"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000364","","","Gold tune","","Bike Tune","0","62","$5410.00","$0.00","$5410.00","$6113.30","$0.00","$5410.00","100%"
"210000004182","192790447520","4550170447526","230855-02","","Shimano, SL-M315-7R, Trigger Shifter, Speed: 7, Black","6","2","$60.00","$0.00","$60.00","$67.80","$24.98","$35.02","58.37%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","106","$106.00","$0.15","$105.85","$119.61","$42.40","$63.45","59.94%"
"210000005010","","","","16-013-19","KMC CHAIN 1/2 x 3/32 8sp","2","7","$161.34","$0.00","$161.34","$182.31","$79.38","$81.96","50.8%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","38","$186.32","$1.75","$184.57","$208.56","$50.16","$134.41","72.82%"
"210000004196","","","670621-01","","EVO, Wrest Loc Mini Grips, Lock-On, 140mm, Black/Grey","4","2","$80.00","$8.00","$72.00","$81.36","$30.58","$41.42","57.53%"
"210000004968","770612346703","","","760537-01","EVO, Hurricane Comp, Floor Pump, SmartHead, 180psi, Black/Silver","12","2","$100.00","$0.00","$100.00","$113.00","$39.98","$60.02","60.02%"
"210000005023","","","","26-632-30","Rear 26"" Double Walol Disc QR","0","1","$125.00","$0.00","$125.00","$141.25","$63.19","$61.81","49.45%"
"210000004333","689228561632","4524667561637","","200828-02","Shimano, SM-RT26 Rotor, 160mm, ISO 6B","7","1","$16.00","$0.00","$16.00","$18.08","$8.24","$7.76","48.5%"
"210000004943","","","","120024-02","SRAM, PG-820, 8sp cassette, 11-32T, 11-13-15-17-20-23-26-32","0","3","$81.00","$0.00","$81.00","$91.53","$51.87","$29.13","35.96%"
"210000002109","","","RIM","","RIM TAPE","0","12","$120.00","$0.00","$120.00","$135.60","$24.00","$96.00","80%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","11","$90.00","$0.00","$90.00","$101.70","$28.01","$61.99","68.88%"
"210000004433","","","","15-0040","Jetblack Z2 Fluid Trainer","4","1","$528.00","$0.00","$528.00","$596.64","$263.99","$264.01","50%"
"210000002769","058817462269","","","160020-20","49N STD 700C x 28-35MM S/V40","7","4","$32.00","$0.00","$32.00","$36.16","$14.92","$17.08","53.37%"
"210000003725","8022530019835","","V-11A00142","","RUBINO PRO 28-622 FOLD BLACK G2.0","-2","2","$160.00","$20.80","$139.20","$157.30","$75.20","$64.00","45.98%"
"210000004874","753759279790","","","620946-01","Garmin, Varia RCT715, Light, Rear, Black","1","1","$399.99","$0.00","$399.99","$451.99","$399.99","$0.00","0%"
"210000003682","058817462481","","160021-21","","49N INNERTUBE  (P/V) 700c x 35 - 50 mm","78","1","$9.00","$1.80","$7.20","$8.14","$3.15","$4.05","56.25%"
"210000004528","720018004370","","","K-004370","KEEPER 12 STD W/4' FLEX CABLE","1","1","$70.00","$14.00","$56.00","$63.28","$32.90","$23.10","41.25%"
"210000002859","689228130920","4524667130925","260022-01","","Shimano, Altus RD-M310, Rear derailleur, 7/8sp., Black, Smart","10","12","$480.00","$5.20","$474.80","$536.52","$250.68","$224.12","47.2%"
"210000003720","058817931352","","252856-01","","49N TREKKING PEDALS - RESIN","24","1","$20.00","$0.00","$20.00","$22.60","$3.99","$16.01","80.05%"
"210000004762","","","","20-118-25","FREEWHEEL 7sp MF-TZ07 14-28T","0","2","$60.00","$0.00","$60.00","$67.80","$25.90","$34.10","56.83%"
"210000000953","4717592021448","","250233-02","","TEKTRO TR160-2 160MM 6-BLT RTR","-20","2","$42.00","$0.00","$42.00","$47.46","$19.36","$22.64","53.9%"
