"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000130","","","","","True Front Wheel","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000004875","770612336186","","","020176-21","EVO, SV, Tube, Schrader, Length: 48mm, 700C, 35-44C","52","3","$30.00","$0.00","$30.00","$33.90","$9.81","$20.19","67.3%"
"210000000125","","","","","Install Tube","0","4","$35.00","$0.00","$35.00","$39.55","$0.00","$35.00","100%"
"210000003446","","","011689-08-700","","EVO, Parkland, Tire, 700x38C, Wire, Clincher, Black","11","2","$60.00","$0.00","$60.00","$67.80","$8.00","$52.00","86.67%"
"210000004940","770612349193","","","120649-01","Varia, 9-Speed Cassette, Cassette, Silver, Speed: 9, 11-32T","5","1","$38.00","$0.00","$38.00","$42.94","$18.99","$19.01","50.03%"
"210000005007","","","Bulk 9sp","16-013-02","KMC CHAIN 9sp","13","1","$35.00","$0.00","$35.00","$39.55","$16.00","$19.00","54.29%"
"210000000124","","","","","Install Tire","0","5","$50.00","$0.00","$50.00","$56.50","$0.00","$50.00","100%"
"210000000364","","","Gold tune","","Bike Tune","0","4","$360.00","$0.00","$360.00","$406.80","$0.00","$360.00","100%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","7","$35.00","$0.00","$35.00","$39.55","$9.24","$25.76","73.6%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","17","$17.00","$0.00","$17.00","$19.21","$6.80","$10.20","60%"
"210000004209","4717784039268","","011746-06-275","","Maxxis, Rekon Race, Tire, 27.5''x2.25, Wire, Clincher, Single, EXO, 60TPI, Black","1","1","$59.00","$0.00","$59.00","$66.67","$30.79","$28.21","47.82%"
"210000003457","770612336124","","020176-15","","EVO, SV, Tube, Schrader, Length: 48mm, 27.5'', 2.00-2.40","46","1","$12.00","$0.00","$12.00","$13.56","$3.46","$8.54","71.19%"
"210000005141","812719021821","","","390731-03","Wolf Tooth Components, Race Face Cinch Elliptical, Chainring, Teeth: 32, Speed: 9-12, BCD: Direct Mount, 7075 Aluminum, Black","0","1","$135.00","$0.00","$135.00","$152.55","$79.99","$55.01","40.75%"
"210000005142","821973340685","","","CK19AE137ARM17BLK","Crank,Aeffect,137 Armset,175 BLK","0","1","$160.00","$0.00","$160.00","$180.80","$92.16","$67.84","42.4%"
"210000004945","","","","450056-01","EVO, Freefall DX, Platform pedals, Removable pins, Black","3","2","$80.00","$5.20","$74.80","$84.52","$29.98","$44.82","59.92%"
"210000004412","770612338975","","","670620-01","EVO, Wrest Loc Grips, Lock-On, 138mm, Black/Grey","0","1","$48.00","$6.24","$41.76","$47.19","$19.38","$22.38","53.59%"
"210000003353","770612336568","","011689-04-26","","EVO, Parkland, Tire, 26''x1.95, Wire, Clincher, Black","17","2","$64.00","$8.32","$55.68","$62.92","$9.54","$46.14","82.87%"
"210000002109","","","RIM","","RIM TAPE","0","4","$40.00","$2.60","$37.40","$42.26","$8.00","$29.40","78.61%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","7","$63.00","$3.51","$59.49","$67.23","$17.82","$41.67","70.05%"
"210000004027","","","26-130-19","","Front 26 Black QR","2","1","$40.00","$5.20","$34.80","$39.32","$21.70","$13.10","37.64%"
"210000004026","","","26-131-16","","Rear 26 Black Freewheel Nutted","2","1","$51.00","$6.63","$44.37","$50.14","$26.71","$17.66","39.8%"
"210000003324","058817933615","","171233-02","","49N Panier Rack Mono Stay ADP","39","1","$11.00","$3.85","$7.15","$8.08","$5.13","$2.02","28.21%"
"210000003695","","","20045","","Rear mount 26″ & 700″ for disc brake","1","1","$50.00","$12.50","$37.50","$42.38","$32.50","$5.00","13.33%"
