"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000262","641300600127","","252980-05","","CRABRO PREMIUM CLEATS MTB","7","1","$35.99","$0.00","$35.99","$40.67","$21.50","$14.49","40.26%"
"210000003113","058817930539","","174402-02","","49N 24""-28"" KICKSTAND ALLOY MID-MOUNT","99","1","$21.00","$0.00","$21.00","$23.73","$10.00","$11.00","52.38%"
"210000003112","710845007507","","312830-02","","SRAM POWERLINK SILVER 8S 4PCS","3","2","$15.00","$0.00","$15.00","$16.96","$5.86","$9.14","60.93%"
"210000000125","","","","","Install Tube","0","6","$45.00","$0.00","$45.00","$50.85","$0.00","$45.00","100%"
"210000001830","","","160130-04","","20 X 2.00-2.40 SV(35) TUBE","0","2","$14.00","$0.00","$14.00","$15.82","$6.00","$8.00","57.14%"
"210000001958","","","160344","","700 20X28 SV 35MM TUBE","4","2","$15.00","$0.00","$15.00","$16.96","$6.50","$8.50","56.67%"
"210000002109","","","RIM","","RIM TAPE","0","3","$15.00","$0.00","$15.00","$16.95","$6.00","$9.00","60%"
"210000000363","","","","","SILVER TUNE UP","0","5","$280.00","$0.00","$280.00","$316.40","$0.00","$280.00","100%"
"210000000268","4715910023761","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","2","6","$26.36","$0.00","$26.36","$29.79","$8.20","$18.16","68.9%"
"210000002859","689228130920","4524667130925","260022-01","","Shimano, Altus RD-M310, Rear derailleur, 7/8sp., Black, Smart","10","1","$40.00","$0.00","$40.00","$45.20","$20.79","$19.21","48.03%"
"210000000099","","","","","Adjust Rear Derailleur","0","2","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000003351","","","","040689-02-26","Wheel Shop, Alex C1000 Silver/ Formula FM-21-QR, Wheel, Front, 26'' / 559, Holes: 36, QR, 100mm, Rim","0","1","$55.00","$11.00","$44.00","$49.72","$27.49","$16.51","37.52%"
"210000003350","","","047853640366","011723-03-26","Kenda, K-Rad, Tire, 26''x2.30, Wire, Clincher, PRC, 60TPI, Black","1","4","$200.00","$35.00","$165.00","$186.45","$99.96","$65.04","39.42%"
"210000001827","058817931345","","252855-01","","49N MTB PEDALS - ALLOY 9/16""","25","2","$67.00","$6.40","$60.60","$68.48","$20.00","$40.60","67%"
"210000003053","","","010925-02-700","","Michelin, Protek, Tire, 700x28C, Wire, Clincher, Protek 1mm, Reflex, 22TPI, Black","0","1","$35.00","$0.00","$35.00","$39.55","$16.59","$18.41","52.6%"
"210000002563","","","FV20017311","","Minus A 10s MD Lunar blue","0","0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000002710","768686152627","","BL-7097040","","DAYBLAZER 800 FRONT LIGHT","4","1","$100.00","$0.00","$100.00","$113.00","$48.00","$52.00","52%"
"210000002871","770612049987","","730046-01","","Evo, Round Monostay Adapter","6","1","$8.00","$0.00","$8.00","$9.04","$3.82","$4.19","52.31%"
"210000001787","","","171230-02","","49N 26"" - 700C ALLOY RACK SLV","0","1","$29.99","$0.00","$29.99","$33.89","$14.10","$15.89","52.98%"
"210000003196","768686731105","","BL-7074412","","CLICK USB REAR LIGHT BLACK","4","1","$30.00","$0.00","$30.00","$33.90","$14.81","$15.19","50.64%"
