"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000002771","058817462887","","160022-04","","49N STD 700C x 23-28MM P/V48","10","3","$27.00","$0.00","$27.00","$30.51","$10.69","$16.31","60.4%"
"210000000125","","","","","Install Tube","0","12","$110.00","$0.00","$110.00","$124.30","$0.00","$110.00","100%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","27","$135.00","$0.00","$135.00","$152.55","$35.64","$99.36","73.6%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","22","$110.00","$0.00","$110.00","$124.30","$14.08","$95.92","87.2%"
"210000001655","","","CT-1412721","","CONTACT PLUS 700 X 28WIRE REFLEX","0","1","$40.00","$0.00","$40.00","$45.20","$21.00","$19.00","47.5%"
"210000000364","","","Gold tune","","Bike Tune","0","14","$1240.00","$0.00","$1240.00","$1401.20","$0.00","$1240.00","100%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","38","$38.00","$0.00","$38.00","$42.94","$11.40","$26.60","70%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","50","$50.00","$0.00","$50.00","$56.50","$20.00","$30.00","60%"
"210000004204","5037835872002","","900965-02","","Muc-Off, Ceramic Dry Lubricant, 120ml with UV Torch","16","1","$25.00","$0.00","$25.00","$28.25","$10.29","$14.71","58.84%"
"210000000551","768686597138","","GH-7059109","","STRATEDURE BLACK L","0","1","$60.00","$0.00","$60.00","$67.80","$27.36","$32.64","54.4%"
"210000003482","058817930379","","250729-02","","49N  V-BRAKE PADS 70MM","10","1","$8.00","$0.00","$8.00","$9.04","$2.60","$5.40","67.5%"
"210000004828","","","","166216-07","SCHWALBE ROAD CRUISER TIRE 700 x 40c","0","1","$36.00","$0.00","$36.00","$40.68","$18.00","$18.00","50%"
"210000002769","058817462269","","","160020-20","49N STD 700C x 28-35MM S/V40","7","2","$17.00","$0.00","$17.00","$19.21","$7.46","$9.54","56.1%"
"210000000124","","","","","Install Tire","0","8","$80.00","$0.00","$80.00","$90.40","$0.00","$80.00","100%"
"210000004837","","","","","WHEEL BUILD","0","4","$390.00","$0.00","$390.00","$440.70","$0.00","$390.00","100%"
"210000003770","","","tubeless setup","","Tubeless Setup","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000002215","","","spoke","","spoke","0","112","$286.00","$0.00","$286.00","$323.18","$56.00","$230.00","80.42%"
"210000004727","","","","RIM TRST32","RIM TAPE I9 TUBELESS  32mm","0","1","$10.00","$0.00","$10.00","$11.30","$3.50","$6.50","65%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","3","$15.00","$0.00","$15.00","$16.95","$6.00","$9.00","60%"
"210000002708","","","BL-7063322","","WAYSIDE CO2 INFLATOR WITH CARTRIDGE","16","1","$30.00","$0.00","$30.00","$33.90","$15.00","$15.00","50%"
"210000004489","4019238027013","","","CT-1412135","TERRA SPEED 700X35 FOLD PROTEC TR BLKCHILI","3","1","$85.00","$0.00","$85.00","$96.05","$48.79","$36.21","42.6%"
"210000000393","","4715910038758","230514-04","","Jagwire, Pro Indexed, Inline adjusters","0","1","$20.00","$0.00","$20.00","$22.60","$8.99","$11.01","55.05%"
"210000004409","811079021915","","","BB-BSA30-BB","Wheels Manufacturing, BB-BSA30-BB, External Cup BB, British, 68/73mm, 30mm","0","1","$93.00","$0.00","$93.00","$105.09","$57.99","$35.01","37.65%"
"210000000087","","","","","Adjust Front *V-Brake*","0","2","$50.00","$0.00","$50.00","$56.50","$0.00","$50.00","100%"
"210000000099","","","","","Adjust Rear Derailleur","0","2","$50.00","$0.00","$50.00","$56.50","$0.00","$50.00","100%"
"210000004437","770612335585","","","620747-01","EVO, NiteBright 60/30, Light, Set, Black","-2","2","$82.00","$0.00","$82.00","$92.66","$37.58","$44.42","54.17%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","7","$60.00","$0.00","$60.00","$67.80","$17.43","$42.57","70.95%"
"210000003365","","","030031-02","763477008558","Park Tool, VP-1, Vulcanizing patch kit","32","5","$25.00","$0.00","$25.00","$28.25","$5.55","$19.45","77.8%"
"210000004271","058817470868","","254006-03","","49N FORMFIT ERGO 190 - MEMORY FOAM SADDLE","23","1","$47.00","$0.00","$47.00","$53.11","$15.99","$31.01","65.98%"
"210000001005","770612223578","","160079-02","","EVO, Adjustable Stem, 22.2mm, For 25.4mm Handlebars, Black, 110mm","0","1","$66.00","$0.00","$66.00","$74.58","$30.07","$35.93","54.44%"
"210000003802","058817148057","","177773-01","","AXIOM FRONTRUNNER FAT","0","3","$66.00","$0.00","$66.00","$74.58","$26.97","$39.03","59.14%"
"210000003178","689228581302","4524667581307","120516-02","","Shimano, CS-HG200-9, 9sp. cassette, 11-13-15-17-20-23-26-30-34T","0","1","$43.00","$5.59","$37.41","$42.27","$22.49","$14.92","39.88%"
