"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000005108","770612339194","","","020176-22","EVO, SV, Tube, Schrader, Length: 48mm, 20'', 2.125-2.40","21","4","$51.96","$0.00","$51.96","$58.72","$4.80","$47.16","90.76%"
"210000000125","","","","","Install Tube","0","25","$230.00","$0.00","$230.00","$259.90","$0.00","$230.00","100%"
"210000003458","770612336155","","020176-18","","EVO, SV, Tube, Schrader, Length: 48mm, 29'', 2.125-2.40","62","1","$12.00","$0.00","$12.00","$13.56","$3.97","$8.03","66.92%"
"210000002109","","","RIM","","RIM TAPE","0","10","$100.00","$0.00","$100.00","$113.00","$20.00","$80.00","80%"
"210000004349","","","Ebike Tube Install","","E Bike Tube Install","0","5","$100.00","$0.00","$100.00","$113.00","$0.00","$100.00","100%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","13","$117.00","$0.00","$117.00","$132.21","$33.10","$83.90","71.71%"
"210000000364","","","Gold tune","","Bike Tune","0","33","$2846.11","$0.00","$2846.11","$3216.10","$0.00","$2846.11","100%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","29","$145.00","$0.00","$145.00","$163.85","$18.56","$126.44","87.2%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","21","$105.00","$0.00","$105.00","$118.65","$27.72","$77.28","73.6%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","72","$72.00","$0.00","$72.00","$81.36","$21.60","$50.40","70%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","59","$59.00","$0.00","$59.00","$66.67","$23.60","$35.40","60%"
"210000000368","770612276086","","030019-01","","Varia, Presta valve adapters, bottle of 50","156","6","$12.00","$0.00","$12.00","$13.56","$2.10","$9.90","82.5%"
"210000004682","","","","04-8201","PRIME 2.0 SLD GLS BLK L/XL","0","1","$90.00","$18.00","$72.00","$81.36","$45.00","$27.00","37.5%"
"210000000126","","","","","Install Multi-Speed Chain","0","7","$240.00","$0.00","$240.00","$271.20","$0.00","$240.00","100%"
"210000001477","710845504839","","500040-01","","Sram, PC-830, 8sp chain, 114 links, Powerlink","3","9","$192.98","$0.00","$192.98","$218.07","$80.91","$112.07","58.07%"
"210000004913","770612335882","","","020175-11","EVO, Presta, Tube, Length: 48mm, 29'', 2.125-2.40","49","1","$13.00","$0.00","$13.00","$14.69","$4.28","$8.72","67.08%"
"210000005135","","","","345149-05","SUPER B TB-WS-30 PRO TRIPOD WORK STAND FREESTAND REP","0","1","$340.00","$0.00","$340.00","$384.20","$170.00","$170.00","50%"
"210000004739","","","","750405-04","Kuat, NV 2.0, Hitch Mounted bike rack, 2 bikes, 2"", Black Metallic","0","3","$2700.00","$0.00","$2700.00","$3051.00","$2307.62","$392.38","14.53%"
"210000000099","","","","","Adjust Rear Derailleur","0","8","$200.00","$0.00","$200.00","$226.00","$0.00","$200.00","100%"
"210000001220","768686072246","","GR-7089191","","REGISTER MIPS MAT WHITE","0","1","$100.00","$20.00","$80.00","$90.40","$40.80","$39.20","49%"
