"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000004192","764459234958","","630010-01","","Mirrycle, Mirror For MTB/ Hybrids","24","7","$210.00","$0.00","$210.00","$237.30","$90.91","$119.09","56.71%"
"210000004658","3248382058319","","","56-069-08","HUTCH TIRE SECTOR 700 x 28c TUBELESS","0","2","$200.00","$0.00","$200.00","$226.00","$129.16","$70.84","35.42%"
"210000003679","183720000731","","168825-02","","NO TUBES UNIVERSAL TUBELESS VALVE STEMS44mm","5","1","$25.00","$0.00","$25.00","$28.25","$12.50","$12.50","50%"
"210000002110","","","SEALANT","","TIRE SEALANT / 2 FL OZ","0","11","$55.00","$0.00","$55.00","$62.15","$22.00","$33.00","60%"
"210000002109","","","RIM","","RIM TAPE","0","13","$65.00","$0.00","$65.00","$73.45","$26.00","$39.00","60%"
"210000003793","770612335592","","620748-01","","EVO, NiteBright 100, Light, Rear, Black","8","1","$33.00","$6.60","$26.40","$29.83","$15.50","$10.90","41.29%"
"210000003532","770612325364","","890717-01","","EVO, E-Tec GS-1, Free Standing Rack","67","1","$32.00","$0.00","$32.00","$36.16","$15.99","$16.01","50.03%"
"210000004443","","","361022","","Tube 700 x 25c (PV) 80mm","1","1","$10.00","$0.00","$10.00","$11.30","$5.00","$5.00","50%"
"210000003455","770612335974","","020175-20","770612335974","EVO, Presta, Tube, Length: 48mm, 700C, 35-44C","64","3","$13.58","$0.00","$13.58","$15.35","$8.37","$5.21","38.37%"
"210000000130","","","","","True Front Wheel","0","7","$180.00","$0.00","$180.00","$203.40","$0.00","$180.00","100%"
"210000004175","","","160560-02","","EVO, Compact, Stem, Diameter: 31.8mm, Length: 110mm, Steerer: 1-1/8'', Black","0","3","$180.00","$0.00","$180.00","$203.40","$72.87","$107.13","59.52%"
"210000004697","","","","26927","STAR NUT 28.6mm","17","1","$5.00","$0.00","$5.00","$5.65","$0.75","$4.25","85%"
"210000000088","","","","","Adjust Rear *V-Brake*","0","2","$40.00","$0.00","$40.00","$45.20","$0.00","$40.00","100%"
"210000003195","768686731099","","BL-7074411","","CLICK USB FRONT LIGHT BLACK","7","1","$30.00","$6.00","$24.00","$27.12","$15.00","$9.00","37.5%"
"210000004132","","","24321","","Clamp Chrome for Single Rail","7","2","$6.00","$0.60","$5.40","$6.10","$3.00","$2.40","44.44%"
