"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000364","","","Gold tune","","Bike Tune","0","41","$3690.00","$0.00","$3690.00","$4169.70","$0.00","$3690.00","100%"
"210000003395","181517000551","","","06-0095","ESI ROAD WRAP BLACK","15","6","$450.00","$0.00","$450.00","$508.50","$195.36","$254.64","56.59%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","8","$67.00","$0.00","$67.00","$75.71","$20.10","$46.90","70.01%"
"210000000125","","","","","Install Tube","0","14","$140.00","$0.00","$140.00","$158.20","$0.00","$140.00","100%"
"210000002767","058817462245","","160020-18","","49N STD 27.5 x 1.95-2.4"" S/V40","11","3","$26.00","$0.00","$26.00","$29.39","$12.00","$14.00","53.85%"
"210000003197","768686236747","","BL-7108801","","GRID SIDE BEACON LIGHT SET (2)","7","2","$160.00","$16.00","$144.00","$162.72","$80.00","$64.00","44.44%"
"210000003852","768686295232","","BL-7110232","","CORE CO2 THREAD-ON INFLATOR","3","1","$32.00","$0.00","$32.00","$36.16","$15.36","$16.64","52%"
"210000000093","","","","","True Rotor","0","2","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000000385","","4715910008621","200098-01","","Jagwire, Adjuster barrels (sleek style), M7, Silver","36","2","$10.00","$0.00","$10.00","$11.30","$1.22","$8.78","87.8%"
"210000000088","","","","","Adjust Rear *V-Brake*","0","3","$75.00","$0.00","$75.00","$84.75","$0.00","$75.00","100%"
"210000000087","","","","","Adjust Front *V-Brake*","0","3","$75.00","$0.00","$75.00","$84.75","$0.00","$75.00","100%"
"210000002207","","","26310","","5MM HEADET SPACER","46","1","$2.50","$0.00","$2.50","$2.83","$0.50","$2.00","80%"
"210000003330","058817470851","","254006-02","","49N FORMFIT ERGO 175 M/F SDL","23","2","$63.00","$0.00","$63.00","$71.19","$32.00","$31.00","49.21%"
"210000000704","400310029201","","400138-01","","FSA, ML-140, Crank bolt, Mega Exo, M18, Alloy, Black","-1","1","$25.00","$0.00","$25.00","$28.25","$5.49","$19.51","78.04%"
"210000003262","847746019749","","166816-01","","NT RACE SEALANT 32oz/944ml","19","1","$66.00","$0.00","$66.00","$74.58","$30.00","$36.00","54.55%"
"210000004204","5037835872002","","900965-02","","Muc-Off, Ceramic Dry Lubricant, 120ml with UV Torch","16","2","$35.29","$0.00","$35.29","$39.88","$20.98","$14.31","40.55%"
"210000002710","768686152627","","BL-7097040","","DAYBLAZER 800 FRONT LIGHT","4","1","$65.00","$0.00","$65.00","$73.45","$48.50","$16.50","25.38%"
"210000003326","058817042973","","174405-02","","49N 26""-29"" ALLOY STAY DISC ST","27","3","$105.00","$15.75","$89.25","$100.86","$39.00","$50.25","56.3%"
"210000000345","710845504839","","312819-01","","SRAM PC830 CHAIN 8SPD","0","3","$75.00","$0.00","$75.00","$84.75","$22.50","$52.50","70%"
"210000004711","689228675568","4524667675563","","120475-01","Shimano, CS-HG31, 8sp. cassette, 11-30T, 11-13-15-17-20-23-26-30","0","1","$30.00","$0.00","$30.00","$33.90","$15.49","$14.51","48.37%"
"210000003679","183720000731","","168825-02","","NO TUBES UNIVERSAL TUBELESS VALVE STEMS44mm","5","1","$25.00","$5.00","$20.00","$22.60","$12.50","$7.50","37.5%"
"210000003409","058817934308","","173628-01","","49N  ERGONOMIC COMFORT GRIP","24","1","$11.00","$0.00","$11.00","$12.43","$5.25","$5.75","52.27%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","26","$122.64","$1.50","$121.14","$136.89","$34.32","$86.82","71.67%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","67","$62.20","$0.45","$61.75","$69.78","$26.80","$34.95","56.6%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","15","$66.28","$1.50","$64.78","$73.21","$9.60","$55.18","85.18%"
"210000000953","4717592021448","","250233-02","","TEKTRO TR160-2 160MM 6-BLT RTR","-20","5","$105.00","$0.00","$105.00","$118.65","$48.40","$56.60","53.9%"
"210000002344","","","210263-01","","Tektro E10.11 Disc Brake Pads Orion Auriga","-1","1","$25.00","$0.00","$25.00","$28.25","$8.09","$16.91","67.64%"
"210000000090","","","","","Adjust Rear *Disk Brake*","0","2","$50.00","$0.00","$50.00","$56.50","$0.00","$50.00","100%"
"210000002624","","","06-0040","","ESI GRIPS RACERS EDGE WHITE","2","1","$25.00","$0.00","$25.00","$28.25","$12.50","$12.50","50%"
"210000003477","","","041393-01-700","","Wheel Shop, Evo Tour 19 Black/ Formula FM-21-QR, Wheel, Front, 700C / 622, Holes: 36, QR, 100mm, Rim","0","1","$55.00","$0.00","$55.00","$62.15","$29.99","$25.01","45.47%"
"210000002109","","","RIM","","RIM TAPE","0","10","$100.00","$0.00","$100.00","$113.00","$20.00","$80.00","80%"
"210000003792","047853631746","","010830-03-26","","Kenda, K850, Tire, 26''x2.10, Wire, Clincher, SRC, 37TPI, Black","6","2","$67.00","$0.00","$67.00","$75.71","$24.10","$42.90","64.03%"
"210000002785","058817896040","","177772-01","177772-01","REARRUNNER BLK/GRY","-2","2","$50.00","$0.00","$50.00","$56.50","$22.00","$28.00","56%"
