"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003717","","","42-0285","","LADIES WESTWOOD MINT GREEN M/17","1","2","$1275.00","$0.00","$1275.00","$1440.75","$893.98","$381.02","29.88%"
"210000003113","058817930539","","174402-02","","49N 24""-28"" KICKSTAND ALLOY MID-MOUNT","99","14","$21.00","$0.00","$21.00","$23.73","$146.53","$-125.53","-597.78%"
"210000003716","","","42-0280","","LADIES WESTWOOD MINT GREEN S/14","0","2","$1300.00","$0.00","$1300.00","$1469.00","$893.98","$406.02","31.23%"
"210000002873","770612112803","","750007-01","","EVO, Bike Rack Adapter","0","2","$114.00","$11.40","$102.60","$115.94","$53.18","$49.42","48.17%"
"210000003297","768661258153","7290001258156","810127-02","","OnGuard, OG 5815, U-Lock, 106mm x 200mm (4.2'' x 7.9'') / Cable 10mm x 120cm (10mm x 4')","14","7","$315.00","$9.00","$306.00","$345.78","$104.93","$201.07","65.71%"
"210000003046","","","171358-01","","WALD CLIP-ON BASKET-REG","0","5","$250.00","$15.00","$235.00","$265.55","$125.00","$110.00","46.81%"
"210000003517","768686287701","","BE-7116407","","TRACE LED W MIPS MAT BLK UW","1","1","$120.00","$12.00","$108.00","$122.04","$57.60","$50.40","46.67%"
"210000003456","770612336094","","020176-12","","EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125","276","29","$220.98","$4.80","$216.18","$244.28","$72.21","$143.97","66.6%"
"210000000323","058817986109","","258470-01","","49N SEATPOST, 25.4, 400MM","1","2","$44.00","$0.00","$44.00","$49.72","$22.00","$22.00","50%"
"210000000363","","","","","SILVER TUNE UP","0","46","$3085.00","$0.00","$3085.00","$3486.05","$0.00","$3085.00","100%"
"210000000230","4715910000809","","250186-02","jagbcss","JAG RD SPRT SLK SS BRK 100PCS","0","24","$111.28","$0.00","$111.28","$125.75","$15.36","$95.92","86.2%"
