"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000002422","770612330955","","","041393-02-700","Evo E-Tour Black 19"" Wheel Front 700c QR Rim","0","1","$58.00","$0.00","$58.00","$65.54","$26.82","$31.18","53.76%"
"210000003536","847435028748","","04-4585","","PACE SLD MATTE BLK/GRY S/M","0","1","$90.00","$0.00","$90.00","$101.70","$44.99","$45.01","50.01%"
"210000003782","768686136405","","BL-7086621","","GRID MTB SEAT BAG","4","1","$30.00","$0.00","$30.00","$33.90","$14.40","$15.60","52%"
"210000000101","","","","","Hanger True","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000000131","","","","","True Rear Wheel","0","3","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000002215","","","spoke","","spoke","0","6","$12.00","$0.00","$12.00","$13.56","$3.00","$9.00","75%"
"210000002767","058817462245","","160020-18","","49N STD 27.5 x 1.95-2.4"" S/V40","11","1","$8.00","$0.00","$8.00","$9.04","$4.00","$4.00","50%"
"210000000125","","","","","Install Tube","0","14","$125.00","$0.00","$125.00","$141.25","$0.00","$125.00","100%"
"210000004138","","","52526","","Cartridge BB 127/68 mm with Alloy  Cups","-1","1","$25.00","$0.00","$25.00","$28.25","$12.50","$12.50","50%"
"210000000230","4715910000809","","250186-02","jagbcss","JAG RD SPRT SLK SS BRK 100PCS","0","2","$10.00","$0.00","$10.00","$11.30","$1.28","$8.72","87.2%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","12","$60.00","$0.00","$60.00","$67.80","$15.84","$44.16","73.6%"
"210000000231","4715910019238","","250191-01","jagbh","JAG SPT CGX-SL BRK OUT 50M BLK","-14","6","$6.00","$0.00","$6.00","$6.78","$3.00","$3.00","50%"
"210000002942","4715910022894","","jagsh","","JAG BASIC LEX SHFT OUT BLK","-27","23","$23.00","$0.00","$23.00","$25.99","$9.20","$13.80","60%"
"210000003749","621920540041","","54-020-00","","20 x 1.75-2.125 SV TUBE","2","4","$32.00","$0.00","$32.00","$36.16","$11.16","$20.84","65.13%"
"210000004007","","","FV21059333","","Devinci Riff Deore 10s MD White","0","1","$1200.00","$0.00","$1200.00","$1356.00","$754.00","$446.00","37.17%"
"210000003490","768686072703","","GR-7089266","","FIXTURE MIPS MAT GREY","0","1","$90.00","$9.00","$81.00","$91.53","$43.20","$37.80","46.67%"
"210000003532","770612325364","","890717-01","","EVO, E-Tec GS-1, Free Standing Rack","67","1","$32.00","$3.20","$28.80","$32.54","$15.99","$12.81","44.48%"
"210000003684","058817462290","","160020-22","","49N STD 29 x 1.95-2.40"" S/V40","14","2","$20.00","$0.00","$20.00","$22.60","$6.30","$13.70","68.5%"
"210000003157","811079022431","","258000-266","","WHL-MFG DROPOUT 266 - GT","0","1","$46.00","$0.00","$46.00","$51.98","$24.00","$22.00","47.83%"
"210000003664","","","041-0530","","Urban Soul Gloss Black L/20.5","0","1","$450.00","$0.00","$450.00","$508.50","$312.00","$138.00","30.67%"
"210000003326","058817042973","","174405-02","","49N 26""-29"" ALLOY STAY DISC ST","27","5","$175.00","$3.50","$171.50","$193.80","$65.00","$106.50","62.1%"
"210000003297","768661258153","7290001258156","810127-02","","OnGuard, OG 5815, U-Lock, 106mm x 200mm (4.2'' x 7.9'') / Cable 10mm x 120cm (10mm x 4')","14","2","$90.00","$4.50","$85.50","$96.62","$29.98","$55.52","64.94%"
"210000003750","621920540010","","54-026-01","","26 x 1.50-2.10 SV TUBE","-7","7","$56.00","$0.00","$56.00","$63.28","$20.30","$35.70","63.75%"
"210000004130","","","78716","","26 x 1.95 Kenda Kross Plus Black Skin","0","1","$35.00","$0.00","$35.00","$39.55","$17.50","$17.50","50%"
"210000000350","763477101334","763477003751","","030029-01","PARK SUPER PATCH KIT GP-2","45","1","$5.00","$0.00","$5.00","$5.65","$1.64","$3.36","67.2%"
"210000000363","","","","","SILVER TUNE UP","0","7","$490.00","$0.00","$490.00","$553.70","$0.00","$490.00","100%"
"210000002823","713835244142","","659666-01","","Serfas RX Cruiser Saddle Lycra","5","1","$70.00","$0.00","$70.00","$79.10","$34.50","$35.50","50.71%"
