"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000003374","","","250728-02","058817930836","49N CANTILEVER PADS 70MM","55","5","$40.00","$0.00","$40.00","$45.20","$13.00","$27.00","67.5%"
"210000000088","","","","","Adjust Rear *V-Brake*","0","5","$90.00","$0.00","$90.00","$101.70","$0.00","$90.00","100%"
"210000000349","763477000293","","340572","","PARK FOLDING HEX WRENCH AWS-10","0","1","$20.00","$0.00","$20.00","$22.60","$8.00","$12.00","60%"
"210000004720","763477000972","","","340599-02","PARK TOOL BIO CHAIN BRITE","1","1","$26.00","$0.00","$26.00","$29.38","$13.00","$13.00","50%"
"210000004400","","","","042-2275","Free Agent Lumen Black","2","1","$620.00","$80.60","$539.40","$609.52","$399.99","$139.41","25.85%"
"210000003962","","","04-4655","","CRUZ MATTE BLK S/M","3","1","$80.00","$20.00","$60.00","$67.80","$39.99","$20.01","33.35%"
"210000004106","058817470936","","254009-05","","49N PERCH WOMENS 153 SADDLE","12","1","$30.00","$7.50","$22.50","$25.43","$9.99","$12.51","55.6%"
"210000001828","058817004032","","160030","","12.5 x 1.75-2.25 SV(35) TUBE","11","1","$7.00","$0.91","$6.09","$6.88","$2.50","$3.59","58.95%"
"210000004459","621920560216","","","56-058-08","TIRE COMP III 12 x 1/2 x 2-1/4 BLK","0","1","$20.00","$2.60","$17.40","$19.66","$6.13","$11.27","64.77%"
"210000003554","058817274541","","250730-02","","49N CARTRIDGE STYLE ROAD BRAKE PADS","9","1","$15.00","$2.25","$12.75","$14.41","$5.29","$7.46","58.51%"
"210000004382","763416273696","","SPB-16","","POLYNESIAN PUNCH","25","5","$15.00","$0.00","$15.00","$16.95","$10.00","$5.00","33.33%"
"210000004828","","","","166216-07","SCHWALBE ROAD CRUISER TIRE 700 x 40c","0","3","$108.00","$0.00","$108.00","$122.04","$54.00","$54.00","50%"
"210000003455","770612335974","","020175-20","770612335974","EVO, Presta, Tube, Length: 48mm, 700C, 35-44C","64","5","$40.00","$0.00","$40.00","$45.20","$13.95","$26.05","65.13%"
"210000000124","","","","","Install Tire","0","19","$200.00","$0.00","$200.00","$226.00","$0.00","$200.00","100%"
"210000000131","","","","","True Rear Wheel","0","15","$420.00","$0.00","$420.00","$474.60","$0.00","$420.00","100%"
"210000002947","058817462276","","","160020-21","49N STD 700C x 35-50MM S/V40","-3","6","$54.00","$0.00","$54.00","$61.02","$27.00","$27.00","50%"
"210000002769","058817462269","","","160020-20","49N STD 700C x 28-35MM S/V40","7","12","$96.00","$0.00","$96.00","$108.48","$44.77","$51.23","53.36%"
"210000003370","770612335912","","020175-14","","EVO, Presta, Tube, Length: 48mm, 700C, 23-25C","154","4","$36.00","$0.00","$36.00","$40.68","$9.16","$26.84","74.56%"
"210000000350","763477101334","763477003751","","030029-01","PARK SUPER PATCH KIT GP-2","45","2","$10.00","$0.00","$10.00","$11.30","$3.28","$6.72","67.2%"
"210000003453","770612336810","","011693-02-26","","EVO, Outcross, Tire, 26''x2.00, Wire, Clincher, Black","1","9","$243.00","$0.00","$243.00","$274.59","$97.91","$145.09","59.71%"
"210000002967","058817462238","","160020-17","","49N STD 26 x 1.95-2.40 SV","9","14","$112.00","$0.00","$112.00","$126.56","$50.40","$61.60","55%"
"210000003746","621920283108","","28-075-70","","Rim Tape 26 x 18mm","0","3","$15.00","$0.00","$15.00","$16.95","$7.56","$7.44","49.6%"
"210000000125","","","","","Install Tube","0","39","$400.00","$0.00","$400.00","$452.00","$0.00","$400.00","100%"
"210000003701","621920362162","","36-124-23","","STEM EXTENSION 28.6 X 22.2 X 130mm","1","1","$16.00","$0.00","$16.00","$18.08","$7.09","$8.91","55.69%"
"210000004171","","","160303-08","","EVO, E-Tec, Stem, 28.6mm, 75mm, 35D, 25.4mm, Black","0","1","$38.00","$0.00","$38.00","$42.94","$16.64","$21.36","56.21%"
"210000004082","400310068835","","14-081-33","","MTB Megaexo BB 68/73 24 mm","3","1","$35.00","$0.00","$35.00","$39.55","$17.85","$17.15","49%"
"210000001637","886798018447","","C-1873001071","","PODIUM CHILL 24OZBLACK","1","3","$75.00","$0.00","$75.00","$84.75","$37.93","$37.07","49.43%"
"210000003393","","","06-0005","","ESI CHUNKY BLACK","32","1","$30.00","$0.00","$30.00","$33.90","$14.99","$15.01","50.03%"
"210000000363","","","","","SILVER TUNE UP","0","25","$1715.00","$0.00","$1715.00","$1937.95","$0.00","$1715.00","100%"
"210000001843","058817985621","","173628-02","","49N DLX ERGO COMFORT GRIP","10","3","$60.00","$2.60","$57.40","$64.86","$24.00","$33.40","58.19%"
"210000003326","058817042973","","174405-02","","49N 26""-29"" ALLOY STAY DISC ST","27","6","$210.00","$0.00","$210.00","$237.30","$78.00","$132.00","62.86%"
"210000004609","4715910022894","","","JAGSH","JAG BASIC LEX SHFT OUT BLK HOUSING","0","81","$81.00","$0.00","$81.00","$91.53","$32.40","$48.60","60%"
"210000003744","","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","0","30","$150.00","$0.00","$150.00","$169.50","$39.60","$110.40","73.6%"
"210000004611","","","","JAGBH","JAG SPT CGX-SL BRK OUT HOUSING","0","83","$83.00","$0.00","$83.00","$93.79","$24.90","$58.10","70%"
"210000004610","","","","JAGBCSS","JAG SPRT SLK SS BRK","0","32","$160.00","$0.00","$160.00","$180.80","$20.48","$139.52","87.2%"
"210000002782","058817521164","","171339","","JOURNEY TUBULAR RACK-BLK","11","2","$128.00","$6.40","$121.60","$137.41","$63.44","$58.16","47.83%"
