System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Date,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
2.1E+11,8.36572E+11,,258000-11,,Product,WHEELS MFTG HANGER #11,2021-04-30,2,1,$40.00,$0.00,$40.00,$45.20,$19.99,$20.01,50.03%
2.1E+11,,,,,Labour,True Rear Wheel,2021-04-30,0,5,$150.00,$0.00,$150.00,$169.50,$0.00,$150.00,100%
2.1E+11,,,,,Labour,Adjust Rear Derailleur,2021-04-30,0,10,$150.00,$0.00,$150.00,$169.50,$0.00,$150.00,100%
2.1E+11,7.70612E+11,,030019-01,,Product,"Varia, Presta valve adapters, bottle of 50",2021-04-30,156,12,$24.00,$0.00,$24.00,$27.12,$4.20,$19.80,82.50%
2.1E+11,,,,,Labour,SILVER TUNE UP,2021-04-30,0,54,"$3,755.00",$0.00,"$3,755.00","$4,243.15",$0.00,"$3,755.00",100%
2.1E+11,7.70612E+11,,011693-02-26,,Product,"EVO, Outcross, Tire, 26''x2.00, Wire, Clincher, Black",2021-04-30,1,13,$325.00,$0.00,$325.00,$367.25,$116.87,$208.13,64.04%
2.1E+11,7.70612E+11,,020176-12,,Product,"EVO, SV, Tube, Schrader, Length: 48mm, 26'', 1.75-2.125",2021-04-30,276,38,$292.98,$0.64,$292.34,$330.35,$94.62,$197.72,67.63%
2.1E+11,7.68686E+11,,GR-7129761,,Product,RADIX MIPS W MAT PINK ST M,2021-04-30,0,1,$130.00,$0.00,$130.00,$146.90,$62.40,$67.60,52%
2.1E+11,4.71591E+12,,253662-01,jagscss,Product,JAG SPT SLK SS SHFT SHIM,2021-04-30,2,48,$240.00,$0.00,$240.00,$271.20,$66.60,$173.40,72.25%
2.1E+11,7.68686E+11,,BE-7088199,,Product,4FORTY MIPSMATTE/GLOSS BLACK L,2021-04-30,-1,1,$140.00,$0.00,$140.00,$158.20,$67.50,$72.50,51.79%
2.1E+11,,,250728-02,58817930836,Product,49N CANTILEVER PADS 70MM,2021-04-30,55,4,$32.00,$0.00,$32.00,$36.16,$10.40,$21.60,67.50%
2.1E+11,58817102769,,174235-01,,Product,49N ULTRA GRIP PU TAPE - BLK,2021-04-30,0,7,$245.00,$0.00,$245.00,$276.85,$90.93,$154.07,62.89%
2.1E+11,4.71591E+12,,253663-02,,Product,JAG BASICS SS SHFT SHIM 100PCS,2021-04-30,195,2,$10.00,$0.00,$10.00,$11.30,$1.80,$8.20,82%
2.1E+11,6.2192E+11,,14-120-79,,Product,TC-CQ02   22/32/42. Forged AL-6061-T6 with steel chainringT.,2021-04-30,1,2,$80.00,$0.00,$80.00,$90.40,$30.46,$49.54,61.93%
2.1E+11,,,380231-10,,Product,"Shimano, EBBUN55C18, BB-UN55, Square, BB Shell: 73mm, Axle: 118mm, Steel, Silver",2021-04-30,0,1,$45.00,$0.00,$45.00,$50.85,$22.59,$22.41,49.80%
2.1E+11,7.10845E+11,,312720-03,,Product,SRAM PG-850 CASSETTE 11-28 8SP,2021-04-30,0,2,$72.00,$0.00,$72.00,$81.36,$36.98,$35.02,48.64%
2.1E+11,,,500040-01,,Product,"SRAM, PC-830, 8sp chain, 114 links, Powerlink",2021-04-30,0,3,$60.00,$0.00,$60.00,$67.80,$23.97,$36.03,60.05%
2.1E+11,58817930379,,250729-02,,Product,49N  V-BRAKE PADS 70MM,2021-04-30,10,6,$48.00,$0.00,$48.00,$54.24,$15.60,$32.40,67.50%
2.1E+11,4.71591E+12,,250186-02,jagbcss,Product,JAG RD SPRT SLK SS BRK 100PCS,2021-04-30,0,17,$85.00,$0.00,$85.00,$96.05,"$1,126.40","-$1,041.40",-1225.18%
2.1E+11,4.71591E+12,,jagsh,,Product,JAG BASIC LEX SHFT OUT BLK,2021-04-30,-27,87,$87.00,$0.00,$87.00,$98.31,$34.80,$52.20,60%
2.1E+11,4.71591E+12,,250191-01,jagbh,Product,JAG SPT CGX-SL BRK OUT 50M BLK,2021-04-30,-14,40,$40.00,$0.00,$40.00,$45.20,$20.00,$20.00,50%
2.1E+11,,8.02E+12,550400-01,8.02E+12,Product,"Selle Royal, Ondina, Saddle, 253 x 214mm, Unisex, 690g, Brown",2021-04-30,2,1,$45.00,$0.00,$45.00,$50.85,$21.99,$23.01,51.13%
2.1E+11,,,Gold tune,,Labour,Bike Tune,2021-04-30,0,12,"$1,080.00",$0.00,"$1,080.00","$1,220.40",$0.00,"$1,080.00",100%
2.1E+11,4.26048E+12,,173645-02,,Product,GP1-L GRIPSHIFT,2021-04-30,3,1,$44.99,$0.00,$44.99,$50.84,$21.15,$23.84,52.99%
2.1E+11,7.64459E+11,,640771-01,,Product,"Mirrycle, Incredibell Lolo, Bell, Black",2021-04-30,0,4,$80.00,$0.00,$80.00,$90.40,$40.36,$39.64,49.55%
2.1E+11,7.68661E+11,,176303,,Product,JOEBLOW SPRINT FLOOR PUMP,2021-04-30,0,1,$60.00,$0.00,$60.00,$67.80,$45.00,$15.00,25%
2.1E+11,6.2192E+11,,12-009-55,,Product,PEDALS  Aluminium made  Weight: 596 g,2021-04-30,2,6,$108.00,$0.00,$108.00,$122.04,$55.44,$52.56,48.67%
2.1E+11,7.68686E+11,,GH-7099238,,Product,DND HEATWAVE/BLK M,2021-04-30,0,1,$40.00,$0.00,$40.00,$45.20,$19.20,$20.80,52%
2.1E+11,,,011672-10-700,,Product,"Goodyear, Transit Tour, Tire, 700x50C, Wire, Clincher, Dynamic:Silica4, S3: Shell, 60TPI, Black",2021-04-30,0,4,$240.00,$0.00,$240.00,$271.20,$57.16,$182.84,76.18%
2.1E+11,,,,,Labour,Install Tire,2021-04-30,0,13,$125.00,$0.00,$125.00,$141.25,$0.00,$125.00,100%
2.1E+11,7.70612E+11,,020176-18,,Product,"EVO, SV, Tube, Schrader, Length: 48mm, 29'', 2.125-2.40",2021-04-30,62,3,$24.00,$0.00,$24.00,$27.12,$10.47,$13.53,56.38%
2.1E+11,7.10845E+11,,500027-01,,Product,"SRAM, PC 951, 9sp chain, 114 links, Powerlink",2021-04-30,1,4,$98.88,$0.00,$98.88,$111.73,$55.54,$43.34,43.83%
2.1E+11,7.68687E+11,,BL-7074412,,Product,CLICK USB REAR LIGHT BLACK,2021-04-30,4,3,$90.00,$3.00,$87.00,$98.31,$45.00,$42.00,48.28%
2.1E+11,,,,,Labour,Install Multi-Speed Chain,2021-04-30,0,3,$90.00,$0.00,$90.00,$101.70,$0.00,$90.00,100%
2.1E+11,7.68687E+11,,BL-7074411,,Product,CLICK USB FRONT LIGHT BLACK,2021-04-30,7,4,$120.00,$3.00,$117.00,$132.21,$60.00,$57.00,48.72%
2.1E+11,,,36350,,Product,Brake shoe v-brake black 70mm,2021-04-30,2,4,$32.00,$0.00,$32.00,$36.16,$18.00,$14.00,43.75%
2.1E+11,4.71591E+12,,250186-01,jagbcssmtn,Product,JAG MTN SPRT SLK SS BRK 100PCS,2021-04-30,-7,22,$110.00,$0.00,$110.00,$124.30,$35.20,$74.80,68%
2.1E+11,58817004148,,160190,,Product,24 X 1.50-2.00 SV(35) TUBE,2021-04-30,0,1,$7.00,$0.00,$7.00,$7.91,$3.00,$4.00,57.14%
2.1E+11,,,,,Labour,Install Tube,2021-04-30,0,23,$195.00,$0.00,$195.00,$220.35,$0.00,$195.00,100%
2.1E+11,8.47435E+11,,04-8086,,Product,Kali PACE SLD MATTE BLK/GRY L/XL,2021-04-30,2,1,$90.00,$13.50,$76.50,$86.45,$44.99,$31.51,41.19%
2.1E+11,7.68686E+11,,GH-7111846,,Product,Xnetic Trail Coal M L,2021-04-30,0,1,$65.00,$9.75,$55.25,$62.43,$30.00,$25.25,45.70%
2.1E+11,7.70612E+11,,020175-04,,Product,"EVO, Presta, Tube, Length: 48mm, 26'', 1.75-2.125",2021-04-30,22,5,$28.58,$0.00,$28.58,$32.30,$11.45,$17.13,59.94%
2.1E+11,7.70612E+11,,011685-07-29,,Product,"EVO, Knotty, Tire, 29''x2.10, Wire, Clincher, Black",2021-04-30,9,2,$60.00,$0.00,$60.00,$67.80,$26.98,$33.02,55.03%
2.1E+11,7.70612E+11,,890717-01,,Product,"EVO, E-Tec GS-1, Free Standing Rack",2021-04-30,67,1,$32.00,$0.00,$32.00,$36.16,$15.99,$16.01,50.03%
2.1E+11,8.47435E+11,,04-4602,,Product,CHAKRA SOLO WHT S/M,2021-04-30,0,1,$60.00,$0.00,$60.00,$67.80,$29.99,$30.01,50.02%
2.1E+11,,,,,Labour,Adjust Hydraulic Brakes,2021-04-30,0,1,$15.00,$0.00,$15.00,$16.95,$0.00,$15.00,100%
2.1E+11,58817986109,,258470-01,,Product,"49N SEATPOST, 25.4, 400MM",2021-04-30,1,1,$22.00,$0.00,$22.00,$24.86,$11.00,$11.00,50%
2.1E+11,58817470851,,254006-02,,Product,49N FORMFIT ERGO 175 M/F SDL,2021-04-30,23,3,$141.00,$0.00,$141.00,$159.33,$48.00,$93.00,65.96%
2.1E+11,58817985164,,174735-02,,Product,"49N 16""-24"" TRAIN WHLS DERAIL",2021-04-30,13,3,$150.00,$20.00,$130.00,$146.90,$73.50,$56.50,43.46%
2.1E+11,,,spoke,,Product,spoke,2021-04-30,0,10,$20.00,$0.00,$20.00,$22.60,$5.00,$15.00,75%
2.1E+11,,,850550,,Product,chainguard black 46-48t,2021-04-30,6,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
2.1E+11,7.70612E+11,,020175-20,7.71E+11,Product,"EVO, Presta, Tube, Length: 48mm, 700C, 35-44C",2021-04-30,64,8,$64.00,$0.00,$64.00,$72.32,$22.32,$41.68,65.13%
2.1E+11,,,172212-01,,Product,49N LED BAND HI-VIZ ORG,2021-04-30,2,1,$15.00,$0.00,$15.00,$16.95,$7.50,$7.50,50%
2.1E+11,6.413E+11,,342391-01,,Product,CRABRO SPEEDIER LVR BLK PKG(1),2021-04-30,2,2,$22.00,$1.65,$20.35,$23.00,$8.41,$11.94,58.69%
2.1E+11,,,,,Labour,Adjust Front *V-Brake*,2021-04-30,0,8,$80.00,$0.00,$80.00,$90.40,$0.00,$80.00,100%
2.1E+11,7.70612E+11,,011692-02-27,,Product,"EVO, Dash, Tire, 27''x1-1/4, Wire, Clincher, Tanwall",2021-04-30,-1,4,$100.00,$0.00,$100.00,$113.00,$28.76,$71.24,71.24%
2.1E+11,,,020175-18,7.71E+11,Product,"EVO, Presta, Tube, Length: 60mm, 700C, 28-32C",2021-04-30,155,2,$18.00,$0.00,$18.00,$20.34,$5.58,$12.42,69%
2.1E+11,,,RIM,,Product,RIM TAPE,2021-04-30,0,12,$60.00,$0.00,$60.00,$67.80,$24.00,$36.00,60%
2.1E+11,58817994685,,160130-04,,Product,20 X 2.125-2.30 SV(35) TUBE,2021-04-30,0,3,$21.00,$0.00,$21.00,$23.73,$9.00,$12.00,57.14%
2.1E+11,,,BE-7067521,,Product,HUB MAT GUNMETAL L,2021-04-30,0,1,$100.00,$0.00,$100.00,$113.00,$50.00,$50.00,50%
2.1E+11,1.81517E+11,,,06-0095,Product,ESI ROAD WRAP BLACK,2021-04-30,15,2,$150.00,$0.00,$150.00,$169.50,$77.98,$72.02,48.01%
2.1E+11,7.13835E+11,,659666-01,,Product,Serfas RX Cruiser Saddle Lycra,2021-04-30,5,1,$70.00,$0.00,$70.00,$79.10,$34.50,$35.50,50.71%
2.1E+11,,,040879-02-29,,Product,wheel shop wheel alex ace 19 black,2021-04-30,0,2,$220.00,$0.00,$220.00,$248.60,$104.38,$115.62,52.55%
2.1E+11,,,550460-02,8.02E+12,Product,"Selle Royal, Freeway Moderate, Saddle, 260 x 188mm, Women, Black",2021-04-30,1,1,$50.00,$0.00,$50.00,$56.50,$29.99,$20.01,40.02%
2.1E+11,7.10845E+11,,312814-01,,Product,SRAM PC951 CHAIN 9SPD,2021-04-30,4,1,$30.00,$0.00,$30.00,$33.90,$13.58,$16.42,54.73%
2.1E+11,,,120046-03,,Product,"Shimano, Sora CS-HG50-9, 9sp. cassette, 12-25T, 12-13-14-15-17-19-21-23-25",2021-04-30,0,1,$56.00,$0.00,$56.00,$63.28,$27.99,$28.01,50.02%
2.1E+11,,,004-4290,,Product,CENTRAL SLD MAT BER S/M,2021-04-30,0,1,$115.00,$0.00,$115.00,$129.95,$57.50,$57.50,50%
2.1E+11,7.70612E+11,,011690-03-26,,Product,"EVO, Mosey, Tire, 26''x2.125, Wire, Clincher, Black",2021-04-30,0,2,$50.00,$0.00,$50.00,$56.50,$19.38,$30.62,61.24%
2.1E+11,6.2192E+11,,14-081-13,,Product,VP SEALED  - Sealed cartridge bearings 122.5MM X 68MM,2021-04-30,0,1,$20.00,$0.00,$20.00,$22.60,$8.00,$12.00,60%
2.1E+11,,,CT-1003928,,Product,ULTRA SPORT II 700 X28 WIRE BLACK,2021-04-30,0,1,$25.00,$0.00,$25.00,$28.25,$15.00,$10.00,40%
2.1E+11,,,041-0570,,Product,Urban Soul 8 Matte Black M/18,2021-04-30,0,2,"$1,000.00",$0.00,"$1,000.00","$1,130.00",$699.98,$300.02,30%
2.1E+11,58817931543,,170992-01,,Product,49 ALLOY WATERBOTTLE CAGE-BLK,2021-04-30,142,15,$150.00,$11.00,$139.00,$157.07,$67.50,$71.50,51.44%
2.1E+11,58817214127,,250381-02,,Product,TEKTRO R525 39-51MM BLK RR,2021-04-30,0,1,$41.99,$0.00,$41.99,$47.45,$21.00,$20.99,49.99%
2.1E+11,6.28251E+11,,05-0015,,Product,WLP DRY CHAIN LUBE 120ML,2021-04-30,6,5,$75.00,$3.00,$72.00,$81.36,$32.50,$39.50,54.86%
2.1E+11,,,840392-01,,Product,"Chamois Butt'R, Chamois Butt'r Coconut, 8oz",2021-04-30,0,1,$33.00,$0.00,$33.00,$37.29,$13.99,$19.01,57.61%
2.1E+11,,,,,Labour,Bleed Hydraulic Brake,2021-04-30,0,1,$30.00,$0.00,$30.00,$33.90,$0.00,$30.00,100%
2.1E+11,,,,,Labour,Flush Hydraulic Brake,2021-04-30,0,1,$15.00,$0.00,$15.00,$16.95,$0.00,$15.00,100%
2.1E+11,58817042973,,174405-02,,Product,"49N 26""-29"" ALLOY STAY DISC ST",2021-04-30,27,17,$573.00,$35.00,$538.00,$607.99,$221.00,$317.00,58.92%
2.1E+11,8.47435E+11,,04-4591,,Product,PACE SLD MATTE MOS/WHT L/XL,2021-04-30,0,1,$90.00,$0.00,$90.00,$101.70,$44.99,$45.01,50.01%
2.1E+11,,,RD-M360,,Product,"Road Derailleur 7,8,9 sd",2021-04-30,0,3,$150.00,$15.00,$135.00,$152.55,$77.97,$57.03,42.24%
2.1E+11,8.36572E+11,,270393-01,,Product,"Wheels Manufacturing, Dropout 25, Derailleur hanger, Kona",2021-04-30,5,1,$35.00,$0.00,$35.00,$39.55,$16.50,$18.50,52.86%
2.1E+11,,,Bulk,500040--02,Product,Bulk 8sp Chain,2021-04-30,-9,9,$180.00,$0.00,$180.00,$203.40,$64.80,$115.20,64%
2.1E+11,58817470820,,254005-02,,Product,49N FORMFIT 175 M/F SADDLE,2021-04-30,33,3,$141.00,$4.70,$136.30,$154.02,$48.00,$88.30,64.78%
